,ID,g_mag,g_mag_err,rp_mag,rp_mag_err,bp_mag,bp_mag_err,parallax,parallax_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,tm_ID,K_mag,K_mag_err,ra,dec,mem_prob,Bp_Rp,Bp_Rp_err,value,DSouto_feh,DSouto_feh_err,APOGEE_feh,APOGEE_feh_err,TELESCOPE,FIELD,SNR,ASPCAPFLAGS
254,604978858408693888,14.269615,0.0002102925524534264,13.778151500000002,0.0013620442213816669,14.605718,0.001233133988465611,1.1524597562719656,0.028400187720745287,0.0887,1.0965337,0.066462755,846.3757240086591,20.982845110206995,08491449+1156080,12.882,0.027000000000000003,132.31035780291,11.935515594819998,0.998,0.82756615,0.001837330643762384,-3.1662578999999997,,,,,,,,
255,604981847705911680,15.3375025,0.0003726300452689752,14.735326999999998,0.0013719492956540571,15.794018,0.002271175262265193,1.147249748032826,0.051164240606729666,0.10800000000000001,0.44254434,0.043224215999999996,850.023475951635,38.832113189764975,08494617+1203301,13.537,0.031,132.44229941841002,12.05835619995,1.0,1.058691,0.0026533906500496736,-3.367426,,,,,,,,
256,604982809778600064,14.992837,0.0002868956098615544,14.43358,0.0011790839992403732,15.399926999999998,0.0014889505067686914,1.1568970772500708,0.038346638663531385,0.11800000000000001,0.58150995,0.044317305,843.185710648925,28.341310910299967,08492313+1201369,13.349,0.03,132.34634682894,12.02693169668,0.9990000000000001,0.96634674,0.0018992663554308054,-3.3690519999999995,,,,,,,,
257,604984630844732544,15.85935,0.0004626748130112883,15.1918955,0.001528719271732592,16.380733,0.002726917613130471,1.1180699980031346,0.05136981965655204,0.2142,0.30067956,0.03023839,871.549596860674,41.03173208148201,08492047+1204039,13.784,0.037000000000000005,132.33527442031001,12.067754918639999,0.998,1.1888379999999998,0.0031261897384144513,-3.4012232000000004,,,,,,,,
258,604990368920963456,15.027397,0.00035023758822649837,14.456697,0.0012926654570572774,15.444548000000001,0.002064724660023514,1.1440802545507067,0.03991297864420704,0.1535,0.57851654,0.046049177999999996,852.361257721147,30.19133009997995,08503462+1211589,13.328,0.025,132.64420116807,12.1996789606,1.0,0.9878502,0.002435995054506128,-3.3229742,,,,,,,,
259,604993598736391040,14.047167000000002,0.00021059504734548533,13.569582,0.000891209586763885,14.370432999999998,0.000954466061253796,1.1495695491744704,0.02953914100352696,0.0985,1.3516098,0.08458948,848.440451843037,21.95224947188899,08501162+1214336,12.67,0.023,132.54835184284,12.242671974879999,0.9990000000000001,0.80085087,0.0013058560370979605,-3.043991,,,,,,,,
260,604993667455856896,14.053576999999999,0.00019913095679226111,13.574968,0.0008004241527098863,14.379532000000001,0.0011980205780199801,1.097032997034702,0.02962740230161905,0.1573,1.4710156,0.09668851,887.960548083188,24.14374006134608,08502281+1213372,12.65,0.024,132.59496768804,12.226978645769998,1.0,0.8045635,0.0014408095396688165,-3.03648,,,,,,,,
261,604994045412975744,13.998116,0.00020394750003672972,13.526782,0.0012260434346262005,14.312917,0.0016329314204978672,1.1654384075894988,0.02882459365257652,0.174,1.3717756,0.08313739,837.1847039415441,20.83842717855009,08501869+1216011,12.65,0.023,132.57780555083,12.26694577837,1.0,0.7861347,0.0020419714806135737,-3.0501251,,,,,,,,
262,604995248003823488,15.14758,0.00036742191738011186,14.567576,0.0015873198831748965,15.57766,0.002349140484648509,1.1692070133762398,0.048024530774640216,0.028999999999999998,0.49715707,0.045143752999999995,834.50985664884,35.021781564935964,08500765+1219185,13.447000000000001,0.035,132.53184540693002,12.321806805019998,1.0,1.0100832,0.00283514469262805,-3.3597832000000003,,,,,,,,
263,604995522881670272,15.228242999999999,0.00035577907074553814,14.635626,0.001447208565967241,15.664361999999999,0.0016999887928522053,1.1000518113843862,0.041949518281220094,0.188,0.5336823,0.046013147000000004,885.477238733944,34.341529220151074,08514027+1204247,13.437999999999999,0.033,132.91777853616998,12.07356079621,1.0,1.0287361,0.002232571282004688,-3.3704977,,,,,,,,
264,604995660320634880,14.549000000000001,0.00027135967085783704,14.024425500000001,0.0009982085223581084,14.910638,0.0013278442431509116,1.1314197092334708,0.035288330500819885,0.1593,0.8775965,0.06400859,861.660027810745,27.185237633963084,08513075+1204159,13.046,0.024,132.8780966142,12.071120975080001,1.0,0.88621235,0.001661201549534967,-3.2257185,,,,,,,,
265,604996897271215104,14.854834,0.0003452608730067749,14.306063,0.0010607075559087274,15.248636999999999,0.001901524765633661,1.0744713475045378,0.0375954518939236,0.129,0.76003975,0.06138456,905.987647492952,32.125092413969014,08512310+1207537,13.27,0.027000000000000003,132.84623438813,12.131622151239998,1.0,0.9425745000000001,0.002177360088152627,-3.3201942000000004,,,,,,,,
266,604997034710156672,15.61001,0.00044100943678280157,14.971778,0.001621546612220925,16.102072,0.0018081715450829008,1.2136285090367325,0.07070687626067775,0.191,0.3217596,0.039542764,804.789831781351,49.560548314924965,08513289+1208095,13.668,0.040999999999999995,132.8870165542,12.13599269717,1.0,1.1302938,0.0024287646555507685,-3.3714237000000002,,,,,,,,
267,604998237300962048,14.014762,0.00020320823430988518,13.533666,0.0010909237838291137,14.339542999999999,0.0010720867433725034,1.1254774619663537,0.0334803570408901,0.1537,1.453393,0.10226393,866.0922992577949,26.023376742650953,08520994+1210311,12.658,0.024,133.04138921607,12.17529314375,1.0,0.8058776999999999,0.0015295374096239325,-2.9927359,,,,,,,,
268,604999852208716800,15.716453,0.0005120454304543413,15.0603895,0.0020061438472959354,16.224522,0.0046665648283724355,1.2190645792317951,0.0509068758509898,0.024,0.2886851,0.02642116,801.276025425308,34.253406010489016,08512038+1208002,13.690999999999999,0.036000000000000004,132.83487655334,12.133416872669999,0.9990000000000001,1.1641321000000002,0.0050795118302299465,-3.3509722,,,,,,,,
269,605001329677769088,14.234879000000001,0.0002600417596499851,13.73175,0.0018884772471389766,14.579929000000002,0.0015632001487962564,1.1436809759046476,0.029465807156894782,0.171,1.1527125,0.07237744,852.6928271083569,22.118923119556943,08511253+1211174,12.825999999999999,0.024,132.80217464901,12.18814056287,1.0,0.8481798,0.002451518104799197,-3.0542192000000004,,,,,,,,
