Red_giant_type 2MASS_Identifier TEFF logg log_Fe/H_number_abundance log_alpha/Fe_number_abundance ln_stellar_mass ln_stellar_age chi2 Galactocentric_radius TEFF_ERR Uncertainty_in_log(g) Uncertainty_in_[Fe/H] Uncertainty_in_[a/Fe] Uncertainty_in_logM Uncertainty_in_logAge
I  2M06380447+1704120 4943.31 2.44  -0.388  0.136  2.5033e-01  1.2579e+00  0.99   9.07   5.489 0.012 0.005 0.004 0.024 0.066
I  2M06381779+1758383 4867.65 2.94   0.093  0.068  6.6302e-01  7.1131e-01  1.22  10.2    6.762 0.012 0.005 0.004 0.025 0.073
I  2M06384190+1735267 5003.26 2.41  -0.086  0.031  9.3465e-01 -6.0894e-01  0.92   8.68   4.394 0.01  0.003 0.002 0.015 0.044
I  2M07321863+2153533 4844.09 2.92  -0.099  0.099  3.2460e-01  1.4613e+00  0.93   9.64   5.096 0.009 0.004 0.003 0.017 0.05 
I  2M07322321+2143467 4552.3  2.62   0.08   0.118  2.0591e-01  2.1060e+00  0.48   9.31   1.674 0.005 0.001 0.002 0.01  0.03 
I  2M07322938+2059323 4614.68 2.29  -0.715  0.271 -3.0880e-02  2.0396e+00  1.06   9.36   3.142 0.01  0.003 0.002 0.013 0.037
I  2M07323161+2147549 4901.85 3.2   -0.077  0.083  3.9190e-02  2.3354e+00  1.67  10.65   9.165 0.012 0.006 0.004 0.021 0.061
I  2M07323272+2056182 4948.05 2.9   -0.079  0.063  2.9409e-01  1.2758e+00  1.05   8.91   5.566 0.011 0.004 0.003 0.02  0.059
I  2M07323619+2053286 4947.17 3.04  -0.241  0.15   3.2961e-01  1.1903e+00  3.53   9.37  13.993 0.021 0.009 0.007 0.034 0.1  
I  2M07324181+2107321 4905.54 3.16   0.042  0.119  5.8590e-02  1.9845e+00  2.62   9.77  10.665 0.015 0.007 0.005 0.027 0.078
I  2M07324190+2127497 4951.54 2.44  -0.27   0.035  1.4896e-01  1.4827e+00  2.53  10.67   8.466 0.022 0.008 0.006 0.041 0.119
I  2M07324307+2048143 4914.99 3.11  -0.077  0.068  4.1024e-01  1.2508e+00  0.5    8.65   3.972 0.006 0.003 0.002 0.011 0.033
I  2M07324391+2101168 4663.74 2.32  -0.474  0.13   3.9370e-01  7.8080e-01  3.01  12.94   8.462 0.025 0.008 0.007 0.04  0.116
I  2M07324980+2140455 4681.48 2.83  -0.013  0.069  1.1464e-01  2.2190e+00  0.76   9.24   3.053 0.007 0.002 0.002 0.013 0.039
I  2M07325200+2058149 4741.42 2.56  -0.308  0.157  2.3299e-01  1.3613e+00  2.52   9.06   6.745 0.016 0.006 0.005 0.03  0.088
I  2M07325523+2131378 4868.18 2.88   0.036  0.028  3.2400e-02  2.1484e+00  2.65   9.83   9.409 0.018 0.007 0.005 0.027 0.082
I  2M07325553+2200558 4851.46 3.18   0.139  0.078  2.0789e-01  2.2518e+00  1.54   9.03   6.137 0.009 0.004 0.003 0.018 0.054
I  2M07325619+2110338 4867.29 2.92  -0.113  0.151  2.0497e-01  1.4526e+00  2.16  10.34  10.076 0.016 0.007 0.005 0.03  0.086
I  2M07330082+2106402 4811.5  3.1    0.173  0.074  2.7842e-01  1.6635e+00  1.82   9.18   5.656 0.01  0.004 0.003 0.019 0.058
I  2M07330417+2057492 4743.75 2.87  -0.134  0.138  1.7307e-01  1.7413e+00  1.47   9.45   4.962 0.01  0.004 0.003 0.018 0.054
I  2M07330473+2200012 4727.37 2.78   0.107  0.049  4.8103e-01  1.1250e+00  0.38   8.31   2.115 0.005 0.002 0.002 0.011 0.033
I  2M07330510+2121254 4700.74 2.45  -0.224  0.077  7.5340e-02  1.9114e+00  1.48   9.84   4.792 0.013 0.004 0.004 0.023 0.071
I  2M07330878+2043338 4514.78 1.93  -0.272  0.068  4.2417e-01  9.5941e-01  0.28   8.96   1.149 0.005 0.001 0.001 0.009 0.029
I  2M07331866+2208498 4706.19 2.52  -0.386  0.124  1.9931e-01  1.6848e+00  1.19  13.49   5.237 0.014 0.005 0.004 0.022 0.066
I  2M07332046+2146598 4818.54 2.26  -0.263  0.067 -1.6034e-01  2.3814e+00  1.99  11.6    6.281 0.015 0.006 0.004 0.024 0.07 
I  2M07332115+2109555 4218.75 1.43  -0.32   0.105  5.0202e-01  7.6520e-01  0.57  11.36   1.05  0.005 0.001 0.002 0.009 0.028
I  2M07332320+2149356 4960.23 3.16  -0.289  0.093  3.1343e-01  1.3938e+00  0.42   8.78   4.073 0.006 0.003 0.002 0.01  0.028
I  2M07332634+2139262 4563.2  1.92  -0.558  0.112 -7.7440e-02  2.1440e+00  1.91  16.19   6.025 0.021 0.007 0.005 0.034 0.103
I  2M07332694+2220400 4826.19 2.39  -0.121  0.072 -1.3780e-02  2.0880e+00  1.13  10.54   4.548 0.011 0.004 0.003 0.02  0.057
I  2M07332748+2134378 4911.53 3.28  -0.013  0.169  6.5680e-02  2.3476e+00  2.2   10.5    9.848 0.013 0.006 0.004 0.022 0.064
I  2M07332773+2205305 4921.77 2.92  -0.455  0.122  3.1436e-01  1.2655e+00  1.12  11.38   9.746 0.017 0.006 0.005 0.022 0.065
I  2M07333044+2040114 4836.87 2.92  -0.288  0.205  4.4110e-02  1.8931e+00  2.19  11.92  14.732 0.024 0.01  0.007 0.034 0.1  
I  2M07333052+2206591 4506.89 2.09  -0.24   0.081  2.7636e-01  1.4349e+00  0.82  10.24   2.142 0.009 0.002 0.003 0.016 0.051
I  2M07333133+2136092 4756.11 2.3   -0.028  0.058  9.0312e-01 -2.7213e-01  0.95   8.99   3.172 0.009 0.003 0.002 0.016 0.048
I  2M07333551+2103479 4697.94 2.45   0.293  0.059  6.3818e-01  5.7670e-01  1.62   9.6    3.463 0.01  0.003 0.002 0.025 0.075
I  2M07333629+2039088 4339.17 1.67  -0.452  0.124  8.1290e-02  1.8961e+00  0.68  11.91   1.46  0.007 0.002 0.002 0.012 0.036
I  2M07333842+2104583 4857.88 2.91  -0.48   0.226  1.1900e-01  1.5895e+00  3.17  13.82  15.346 0.026 0.011 0.006 0.03  0.088
I  2M07334002+2210509 4958.11 3.18  -0.446  0.156  2.4419e-01  1.5394e+00  0.53   8.8    4.681 0.008 0.003 0.002 0.01  0.029
I  2M07334138+2157469 4990.53 3.28  -0.381  0.106  2.4417e-01  1.5901e+00  2.35  10.19  10.878 0.018 0.007 0.005 0.026 0.076
I  2M07334184+2142309 4356.77 2.12   0.208  0.045  3.1178e-01  1.7547e+00  0.57   9.33   1.202 0.005 0.001 0.002 0.01  0.032
I  2M07334609+2051384 4712.45 2.87  -0.096  0.16   1.8838e-01  1.6508e+00  2.46  12.49   8.482 0.018 0.007 0.006 0.031 0.092
I  2M07334847+2045023 4850.96 2.89  -0.276  0.09   2.0676e-01  1.6601e+00  0.65   9.16   4.674 0.008 0.003 0.003 0.012 0.035
I  2M07335160+2141111 4758.59 2.58  -0.355  0.09   2.8787e-01  1.3368e+00  0.81  10.42   4.325 0.01  0.003 0.003 0.016 0.048
I  2M07335386+2236439 4681.31 2.57  -0.169  0.074  5.0375e-01  8.7802e-01  1.1   10.99   4.23  0.012 0.004 0.004 0.022 0.064
I  2M07335412+2032100 4845.51 3.16   0.277  0.07   5.0031e-01  1.3017e+00  1.18   9.16   5.081 0.008 0.004 0.002 0.018 0.054
I  2M07335520+2120522 4410.52 1.76  -0.369  0.083  2.1148e-01  1.5645e+00  1.77  16.44   2.913 0.012 0.003 0.004 0.024 0.075
I  2M07335686+2140233 4703.29 2.43   0.154  0.051  1.2735e-01  2.1169e+00  0.9    9.88   3.005 0.008 0.002 0.002 0.017 0.049
I  2M07335891+2058559 4710.33 2.33  -0.402  0.104  3.6162e-01  9.5599e-01  1.18  12.12   4.494 0.014 0.004 0.004 0.023 0.067
I  2M07340130+2048518 4509.48 1.88  -0.34   0.087  1.1797e-01  1.7241e+00  0.53   9.63   1.672 0.006 0.002 0.002 0.013 0.039
I  2M07340230+2143052 4911.91 2.93  -0.092  0.05   4.3879e-01  1.0596e+00  0.28   8.46   2.904 0.005 0.002 0.002 0.009 0.027
I  2M07341054+2127170 4654.52 2.06  -0.483  0.113 -4.3000e-02  2.0889e+00  2.05  17.69   6.39  0.018 0.006 0.005 0.033 0.101
I  2M07341101+2201378 4655.24 2.12  -0.27   0.084  2.4916e-01  1.3832e+00  0.39   9.74   2.016 0.006 0.002 0.002 0.015 0.044
I  2M07341112+2153452 4469.91 2.14  -0.173  0.085  1.7571e-01  1.8826e+00  0.66  10.84   1.864 0.007 0.002 0.003 0.014 0.044
I  2M07341321+2123442 4654.65 2.59   0.037  0.047  2.8299e-01  1.6325e+00  0.47   8.63   2.137 0.006 0.002 0.002 0.013 0.04 
I  2M07341479+2147509 4684.49 2.65  -0.303  0.127  5.4550e-02  2.1884e+00  1.14  10.91   4.969 0.012 0.004 0.004 0.02  0.059
I  2M07341549+2220551 4698.18 2.41  -0.126  0.19  -1.7793e-01  2.7253e+00  0.8    9.62   2.804 0.008 0.003 0.002 0.012 0.034
I  2M07341560+2144348 4624.7  2.18  -0.612  0.14   1.3052e-01  1.7259e+00  1.33  16.05   4.794 0.015 0.005 0.004 0.022 0.068
I  2M07341701+2150375 4762.71 3.03   0.081  0.054  1.5523e-01  2.2678e+00  0.96   9.34   4.179 0.008 0.003 0.003 0.014 0.042
I  2M07341724+2157526 4632.65 2.21  -0.37   0.091  3.2069e-01  1.1847e+00  0.49  10.15   2.144 0.007 0.002 0.002 0.013 0.04 
I  2M07341930+2034037 4859.69 2.86  -0.126  0.069  3.8218e-01  1.2215e+00  0.51   8.94   3.819 0.007 0.003 0.002 0.013 0.038
I  2M07342869+2241418 4941.66 3.16  -0.043  0.068  2.1050e-01  2.0032e+00  1.16   9.7    9.398 0.013 0.006 0.004 0.025 0.075
I  2M07342899+2215266 4471.93 1.86  -0.088  0.114  7.3077e-01 -1.6347e-01  2.41   9.17   2.787 0.012 0.003 0.003 0.022 0.064
I  2M07342911+2212299 4792.13 2.89   0.015  0.074  3.6807e-01  1.5549e+00  0.43   8.61   2.804 0.006 0.002 0.002 0.011 0.033
I  2M07343140+2044515 4478.39 1.86  -0.426  0.118  2.7000e-01  1.3097e+00  1.31  13.62   2.601 0.011 0.003 0.004 0.02  0.063
I  2M07343144+2035416 4893.07 3.27   0.054  0.078  1.9338e-01  2.0107e+00  1.11   8.66   5.207 0.008 0.003 0.003 0.014 0.041
I  2M07343732+2227290 4895.41 3.07  -0.023  0.063  2.0817e-01  2.0697e+00  1.38  10.64   8.0   0.012 0.005 0.004 0.022 0.066
I  2M07343847+2059177 4183.84 1.36  -0.224  0.087  6.3992e-01  4.5858e-01  0.86   9.64   1.161 0.006 0.002 0.002 0.01  0.031
I  2M07343877+2043520 4959.27 3.09  -0.322  0.116  4.3189e-01  9.1655e-01  1.01   9.65   7.141 0.011 0.005 0.004 0.017 0.05 
I  2M07344008+2126533 4914.82 3.25  -0.11   0.101  2.0987e-01  2.0334e+00  1.06   9.36   7.23  0.01  0.005 0.004 0.017 0.051
I  2M07344391+2045236 4776.81 2.42   0.075  0.036  7.2793e-01  1.7546e-01  0.28   8.61   1.825 0.005 0.002 0.001 0.012 0.033
I  2M07344829+2054521 4751.55 2.49  -0.318  0.101 -1.7249e-01  2.6167e+00  2.57  11.22   7.921 0.018 0.006 0.005 0.027 0.084
I  2M07344926+2049333 4142.65 1.56  -0.036  0.04   2.3512e-01  1.8257e+00  0.64   9.57   1.008 0.005 0.001 0.002 0.009 0.029
I  2M07345124+2213197 4675.74 2.7   -0.049  0.067  1.9510e-01  1.9167e+00  1.37  11.4    4.808 0.012 0.004 0.004 0.022 0.067
I  2M07345270+2233019 4725.79 2.63  -0.141  0.05   2.9599e-01  1.5236e+00  0.31   8.8    2.152 0.005 0.002 0.002 0.01  0.03 
I  2M07345478+2045253 4777.65 2.45   0.108  0.03   1.9923e-01  1.6571e+00  1.67  12.59   5.464 0.014 0.004 0.004 0.03  0.088
I  2M07345574+2151522 4811.39 3.01  -0.115  0.164  2.3683e-01  1.9080e+00  0.33   8.36   2.585 0.004 0.002 0.001 0.008 0.023
I  2M07345620+2030312 4810.36 2.44  -0.023  0.036  3.3010e-01  1.2227e+00  0.23   8.72   1.98  0.005 0.002 0.001 0.012 0.035
I  2M07345959+2147099 4855.5  3.2    0.097  0.06   1.0161e-01  2.4513e+00  1.14   9.17   5.777 0.009 0.004 0.003 0.015 0.045
I  2M07345964+2020156 4755.85 2.96   0.219  0.092  3.9649e-01  1.6415e+00  1.16   9.09   4.152 0.008 0.003 0.002 0.018 0.054
I  2M07350599+2026264 4884.13 2.32  -0.334  0.136 -1.1221e-01  2.1522e+00  0.95   9.92   4.721 0.01  0.004 0.004 0.018 0.048
I  2M07350734+2218079 4593.29 2.11  -0.444  0.096  2.1789e-01  1.4179e+00  0.77  10.86   2.462 0.009 0.003 0.003 0.015 0.047
I  2M07350825+2234439 4374.97 2.16   0.031  0.116  5.3690e-02  2.4765e+00  0.9   10.79   1.735 0.007 0.002 0.002 0.012 0.037
I  2M07351055+2135306 4823.32 2.42  -0.083  0.093  2.0854e-01  1.4123e+00  1.05   9.85   4.435 0.011 0.004 0.003 0.024 0.07 
I  2M07351111+2037324 4896.92 3.09  -0.144  0.086  2.9766e-01  1.4841e+00  0.74   9.27   5.171 0.008 0.003 0.003 0.014 0.04 
I  2M07351331+2054353 4374.08 1.8   -0.069  0.068  7.2910e-02  2.1732e+00  1.02   9.39   1.799 0.008 0.002 0.003 0.014 0.044
I  2M07351780+2039234 4300.52 1.96   0.105  0.056  5.3830e-02  2.5107e+00  0.59   9.52   1.22  0.006 0.001 0.002 0.01  0.028
I  2M07352473+2201340 4852.34 3.1    0.006  0.058  1.0354e-01  2.2593e+00  0.96  10.4    6.472 0.01  0.004 0.003 0.017 0.051
I  2M07352575+2229257 4446.85 1.89  -0.423  0.099  7.4930e-02  1.9865e+00  0.82  10.52   1.886 0.008 0.002 0.002 0.014 0.043
I  2M07352622+2205245 4480.94 2.18  -0.498  0.234  6.8850e-02  2.0202e+00  0.41  10.14   1.47  0.006 0.002 0.001 0.008 0.025
I  2M07352866+2029423 4905.68 3.12  -0.076  0.12   4.1072e-01  1.1438e+00  2.13   9.93   9.155 0.013 0.006 0.005 0.023 0.067
I  2M07353039+2207416 4528.76 2.12  -0.545  0.184 -4.5490e-02  2.3174e+00  0.34   8.94   1.432 0.005 0.002 0.002 0.008 0.025
I  2M07353255+2158501 4871.86 3.19   0.196  0.051  4.0233e-01  1.6113e+00  0.94   8.98   4.506 0.007 0.003 0.002 0.015 0.044
I  2M07353444+2156207 4458.37 1.87  -0.509  0.114  1.4188e-01  1.7130e+00  1.18  17.25   2.643 0.011 0.003 0.003 0.019 0.058
I  2M07353468+2102065 4981.06 2.8    0.052  0.002  5.2575e-01  6.7566e-01  0.8    8.38   4.249 0.01  0.003 0.002 0.019 0.055
I  2M07353896+2251471 4683.05 2.34  -0.431  0.096  3.9530e-02  1.9292e+00  2.93  13.0    8.26  0.026 0.008 0.006 0.037 0.114
I  2M07354084+2249226 4821.59 2.92   0.001  0.076  2.2863e-01  1.8843e+00  1.23  10.02   6.228 0.011 0.004 0.004 0.021 0.062
I  2M07354173+2223501 4389.54 1.84  -0.282  0.084  2.8713e-01  1.3819e+00  0.36   8.78   1.078 0.005 0.001 0.002 0.009 0.028
I  2M07354445+2109537 4655.87 2.44  -0.068  0.049  1.2226e-01  1.9576e+00  1.08   9.46   3.456 0.01  0.003 0.003 0.02  0.061
I  2M07354644+2242512 4747.63 2.87  -0.265  0.226  1.7077e-01  1.9501e+00  1.02   9.89   4.685 0.009 0.004 0.002 0.014 0.042
I  2M07354653+2138568 4987.21 3.12  -0.26   0.136  3.4960e-01  1.0872e+00  1.88   9.59   9.314 0.014 0.006 0.005 0.024 0.069
I  2M07354743+2253278 4926.72 3.05  -0.534  0.155  1.8284e-01  1.6252e+00  1.13  10.25   9.95  0.018 0.007 0.004 0.019 0.056
I  2M07355281+2240544 4446.0  2.05  -0.451  0.205  7.4530e-02  2.0455e+00  0.74  11.26   1.897 0.008 0.002 0.002 0.012 0.038
I  2M07355509+2233525 4543.32 2.3    0.226  0.094 -2.0944e-01  3.1665e+00  1.71  11.67   3.037 0.01  0.003 0.003 0.016 0.044
I  2M07355995+2204169 4741.67 2.94  -0.22   0.171  3.9510e-02  2.4327e+00  0.91   9.4    3.986 0.007 0.003 0.003 0.012 0.037
I  2M07360346+2150140 4498.5  1.8   -0.383  0.09   1.9057e-01  1.4507e+00  1.09  15.15   2.593 0.009 0.003 0.003 0.02  0.062
I  2M07360505+2057437 4402.52 2.01  -0.02   0.073  2.6433e-01  1.6263e+00  1.26  12.01   2.195 0.009 0.002 0.003 0.019 0.06 
I  2M07360532+2102134 4512.81 2.13  -0.096  0.074  2.5440e-02  2.2258e+00  2.16  11.21   3.563 0.013 0.003 0.004 0.024 0.078
I  2M07360651+2114107 4885.85 2.85  -0.198  0.049  1.4513e-01  2.5926e+00  1.49   8.58   6.61  0.013 0.005 0.003 0.019 0.055
I  2M07360910+2134250 4839.45 2.68  -0.316  0.095  2.1137e-01  1.5541e+00  0.75  10.22   4.955 0.01  0.004 0.003 0.016 0.046
I  2M07360910+2211383 4605.75 2.12  -0.56   0.134  7.3400e-03  1.9635e+00  1.11  16.6    5.395 0.017 0.005 0.004 0.028 0.084
I  2M07361813+2121187 4690.42 2.78  -0.038  0.138  2.3043e-01  1.6614e+00  0.92   9.49   3.249 0.008 0.003 0.002 0.015 0.044
I  2M07362042+2140098 4663.41 2.37  -0.402  0.123  1.9950e-01  1.5508e+00  0.76  11.62   3.368 0.01  0.003 0.003 0.018 0.053
I  2M07362229+2014193 4622.08 2.49  -0.457  0.233  3.6820e-02  2.0881e+00  0.69  10.15   2.621 0.007 0.003 0.002 0.011 0.034
I  2M07362280+2045329 4806.35 2.56  -0.143  0.094 -2.5462e-01  2.8445e+00  2.36  11.71   9.579 0.022 0.008 0.006 0.031 0.097
I  2M07362523+2222256 4612.01 2.62  -0.159  0.179  1.6188e-01  2.0812e+00  0.35   8.99   1.693 0.005 0.002 0.001 0.008 0.025
I  2M07362655+2112542 4291.45 1.63  -0.025  0.07   1.8654e-01  1.8623e+00  0.61   9.7    1.205 0.005 0.001 0.002 0.01  0.032
I  2M07362776+2227496 4743.28 2.56  -0.067  0.062  5.6095e-01  8.2161e-01  0.36   8.87   2.274 0.006 0.002 0.002 0.013 0.036
I  2M07363172+2246495 4987.36 3.18  -0.192  0.054  4.4007e-01  1.0951e+00  1.02   9.05   6.882 0.011 0.005 0.003 0.019 0.056
I  2M07363283+2111177 4559.02 2.05  -0.463  0.142 -2.2369e-01  2.7596e+00  2.56  15.87   6.17  0.021 0.006 0.006 0.033 0.103
I  2M07363511+2027472 4870.15 3.15   0.118  0.086  4.1296e-01  1.3186e+00  1.57   9.43   7.007 0.011 0.005 0.003 0.022 0.065
I  2M07363620+2130030 4935.86 3.09   0.188  0.049  3.5401e-01  1.3822e+00  2.02   8.98   6.979 0.012 0.005 0.003 0.024 0.071
I  2M07363639+2103094 4525.17 2.02  -0.503  0.218 -2.5949e-01  2.8550e+00  2.26  15.94   5.451 0.02  0.006 0.005 0.029 0.087
I  2M07363720+2139305 4738.56 2.71  -0.529  0.211  2.2320e-02  2.1992e+00  0.92  10.99   4.629 0.01  0.004 0.003 0.013 0.039
I  2M07363721+2037255 4883.2  3.13   0.243  0.073  2.4014e-01  1.7932e+00  1.54   9.88   7.26  0.011 0.005 0.003 0.023 0.068
I  2M07363854+2057423 4692.51 2.35  -0.466  0.126 -2.7826e-01  2.9600e+00  2.86  11.61   8.356 0.023 0.007 0.005 0.029 0.091
I  2M07364058+2135581 4614.91 2.81  -0.025  0.086  5.0250e-02  2.5834e+00  1.3    9.97   4.046 0.01  0.003 0.003 0.018 0.053
I  2M07364113+2229379 4678.13 2.65  -0.514  0.262  8.3270e-02  2.0205e+00  0.77   9.47   3.072 0.008 0.003 0.002 0.01  0.03 
I  2M07364318+2053334 4676.0  2.34  -0.085  0.036  1.4199e-01  1.8161e+00  1.27   8.47   3.764 0.011 0.003 0.003 0.022 0.069
I  2M07364337+2035251 4840.77 2.36  -0.401  0.237 -1.3587e-01  2.2405e+00  0.95   9.88   4.673 0.01  0.004 0.002 0.015 0.04 
I  2M07364352+2122360 4742.62 2.76  -0.509  0.138  4.8245e-01  8.0690e-01  2.94  12.57  10.311 0.021 0.008 0.006 0.028 0.08 
I  2M07364361+2213520 4858.25 3.15   0.18   0.054  2.4910e-01  1.9961e+00  0.52   8.85   3.238 0.005 0.002 0.002 0.01  0.03 
I  2M07364554+2240041 4736.37 2.94   0.136  0.04   1.1825e-01  2.4676e+00  0.66   8.91   2.987 0.006 0.002 0.002 0.011 0.033
I  2M07364591+2250555 4783.57 2.72  -0.327  0.109  1.3362e-01  1.9452e+00  1.14  10.39   5.852 0.012 0.004 0.004 0.019 0.055
I  2M07364682+2045463 4824.7  3.16   0.115  0.074  2.1742e-01  1.8979e+00  0.62   8.29   3.312 0.006 0.002 0.002 0.01  0.031
I  2M07364685+2051553 4850.7  2.21  -0.422  0.172  2.7200e-03  1.8954e+00  1.8   14.49   7.263 0.016 0.007 0.005 0.029 0.081
I  2M07364852+2204473 4611.93 2.12  -0.119  0.037  5.1308e-01  7.0239e-01  0.43  10.13   1.756 0.006 0.002 0.002 0.014 0.042
I  2M07364878+2040009 4811.7  2.75  -0.063  0.074  4.1870e-01  1.1271e+00  0.73   8.99   3.981 0.008 0.003 0.003 0.018 0.052
I  2M07364887+2218130 4977.64 3.22  -0.405  0.13   1.8426e-01  1.8190e+00  1.3    9.89   7.469 0.012 0.005 0.004 0.017 0.05 
I  2M07364969+2140453 4936.41 3.04  -0.248  0.099  2.9081e-01  1.4939e+00  1.01   9.6    6.647 0.01  0.004 0.003 0.017 0.05 
I  2M07365064+2222001 4457.23 1.97  -0.209  0.033  3.0305e-01  1.4081e+00  0.39   9.37   1.255 0.005 0.001 0.002 0.01  0.031
I  2M07365105+2021218 4917.36 3.05  -0.394  0.156  3.0670e-01  1.3188e+00  0.75   9.02   5.985 0.009 0.004 0.003 0.013 0.037
I  2M07365703+2234184 4672.23 2.66   0.04   0.057  3.7484e-01  1.5953e+00  0.57   9.26   2.497 0.007 0.002 0.002 0.014 0.043
I  2M07365854+2130377 5027.28 3.1   -0.199  0.086  5.7654e-01  4.9268e-01  1.63   9.51   8.393 0.014 0.006 0.005 0.026 0.074
I  2M07370060+2254300 4785.15 2.82   0.059  0.063  3.4770e-01  1.9000e+00  1.19   9.42   5.369 0.011 0.004 0.003 0.024 0.071
I  2M07370345+2015117 4989.88 3.1   -0.101  0.077  5.4068e-01  6.2948e-01  1.17   9.21   7.939 0.013 0.005 0.004 0.024 0.071
I  2M07370383+2044525 4627.96 2.38  -0.22   0.128  2.9050e-01  1.3864e+00  0.8    9.59   2.805 0.009 0.003 0.003 0.018 0.055
I  2M07370467+2058540 4330.32 1.54  -0.504  0.143 -3.1460e-02  2.1845e+00  1.99  21.77   3.03  0.012 0.004 0.004 0.023 0.071
I  2M07370558+2025508 4503.45 1.85  -0.427  0.14   4.1092e-01  9.6583e-01  1.39  18.27   4.255 0.017 0.005 0.005 0.031 0.093
I  2M07370735+2108172 4848.2  2.94  -0.005  0.067  1.0558e-01  2.0147e+00  1.49   9.44   6.153 0.011 0.004 0.003 0.018 0.055
I  2M07370939+2016296 4458.08 1.87  -0.413  0.085  2.2991e-01  1.4107e+00  1.37  15.12   4.17  0.017 0.005 0.005 0.031 0.096
I  2M07371236+2220248 4693.01 2.47  -0.354  0.091  1.2199e-01  1.8444e+00  0.55   9.77   2.834 0.008 0.003 0.002 0.012 0.038
I  2M07371248+2108418 4881.45 3.21   0.008  0.069 -3.5400e-02  2.6757e+00  2.05   9.39   7.777 0.011 0.005 0.004 0.018 0.055
I  2M07371588+2049441 4875.59 2.96  -0.296  0.146  3.5309e-01  1.2011e+00  1.16   9.54   7.044 0.011 0.005 0.004 0.016 0.047
I  2M07371793+2015320 4665.43 2.02  -0.419  0.106  3.8505e-01  8.2248e-01  0.84  11.02   2.914 0.009 0.003 0.003 0.018 0.053
I  2M07372161+2247016 4976.9  3.23  -0.374  0.114  2.8999e-01  1.4890e+00  0.79   9.06   5.519 0.009 0.003 0.003 0.013 0.037
I  2M07372162+2045096 4580.49 2.77   0.241  0.053  2.2340e-01  2.0041e+00  0.64   8.54   1.937 0.005 0.002 0.002 0.011 0.033
I  2M07372614+2144017 4944.29 3.08  -0.228  0.091  2.9719e-01  1.3989e+00  1.17   9.89   7.111 0.011 0.005 0.004 0.018 0.053
I  2M07372731+2134182 4659.88 2.66   0.056  0.082  4.6654e-01  1.0932e+00  0.5    9.3    2.159 0.006 0.002 0.002 0.013 0.04 
I  2M07372816+2215511 4772.77 2.78   0.089  0.044  6.8682e-01  6.8127e-01  0.83   9.18   3.478 0.008 0.003 0.002 0.017 0.048
I  2M07372970+2010220 4249.12 1.79   0.114  0.036  4.6564e-01  1.1540e+00  0.51   9.28   0.983 0.005 0.001 0.001 0.009 0.029
I  2M07372979+2220037 4826.19 2.69  -0.423  0.123  1.7138e-01  1.6248e+00  0.51   9.76   4.193 0.008 0.003 0.002 0.012 0.034
I  2M07373037+2217316 4564.03 2.07  -0.443  0.112  1.6583e-01  1.6110e+00  1.36  13.31   3.524 0.014 0.004 0.004 0.024 0.073
I  2M07373191+2010106 4420.13 1.95  -0.259  0.118  1.6312e-01  1.8066e+00  0.47   9.72   1.436 0.006 0.002 0.002 0.011 0.035
I  2M07373694+2057036 4978.07 2.5   -0.091  0.054  9.1870e-02  1.7216e+00  1.0    8.91   4.146 0.01  0.004 0.003 0.019 0.055
I  2M07373760+2042199 4789.66 3.19   0.102  0.14   1.2552e-01  2.2460e+00  1.19   8.97   4.233 0.007 0.003 0.002 0.013 0.038
I  2M07373843+2253145 4952.94 3.14  -0.312  0.091  2.9226e-01  1.4519e+00  1.13   9.49   8.296 0.013 0.005 0.004 0.019 0.057
I  2M07373901+2216463 4709.17 2.7   -0.163  0.077 -2.9940e-02  2.5572e+00  1.34  10.85   6.279 0.013 0.005 0.004 0.022 0.067
I  2M07373965+2026145 5106.39 2.6    0.0    0.029  9.7936e-01 -5.6955e-01  1.03   8.43   4.198 0.009 0.003 0.002 0.017 0.051
I  2M07374938+2004364 4901.57 2.4   -0.425  0.153  1.4672e-01  1.4889e+00  1.38  12.0    7.619 0.017 0.006 0.005 0.032 0.09 
I  2M07375225+2119578 4801.97 2.44   0.216  0.058 -1.8218e-01  2.6825e+00  1.92  13.1    7.218 0.018 0.006 0.005 0.028 0.079
I  2M07375579+2047171 4696.53 2.25  -0.267  0.085  4.1195e-01  9.5213e-01  0.43   8.89   2.215 0.007 0.002 0.002 0.015 0.044
I  2M07375866+2105199 4788.86 2.82   0.163  0.039  3.0273e-01  1.4119e+00  1.57   9.07   5.214 0.011 0.004 0.003 0.024 0.073
I  2M07375926+2134154 4940.33 3.24   0.005  0.09   1.7397e-01  2.0454e+00  1.31  10.14   7.047 0.009 0.005 0.003 0.018 0.054
I  2M07380045+2148256 4826.54 2.65  -0.399  0.118  3.3444e-01  1.1665e+00  0.64   9.38   4.369 0.009 0.003 0.003 0.014 0.039
I  2M07380133+2156599 4761.86 2.69  -0.168  0.1    3.3304e-01  1.3693e+00  1.23  12.1    5.945 0.013 0.005 0.004 0.026 0.077
I  2M07380224+2117113 4921.91 3.11  -0.114  0.133  3.5300e-01  1.3021e+00  1.79   9.73   8.698 0.012 0.006 0.004 0.022 0.065
I  2M07380294+2009427 4946.7  3.28  -0.049  0.1    3.5582e-01  1.3580e+00  1.57   9.46  10.568 0.014 0.007 0.005 0.027 0.079
