Red_giant_type 2MASS_Identifier TEFF logg log_Fe/H_number_abundance log_alpha/Fe_number_abundance ln_stellar_mass ln_stellar_age chi2 Galactocentric_radius TEFF_ERR Uncertainty_in_log(g) Uncertainty_in_[Fe/H] Uncertainty_in_[a/Fe] Uncertainty_in_logM Uncertainty_in_logAge
I  2M21375692+4131533 4645.52 2.43  -0.145  0.046  1.5747e-01  1.8649e+00  1.18   8.64   4.812 0.014 0.004 0.004 0.026 0.08 
I  2M21375875+4322138 4354.43 1.78  -0.485  0.183  1.4210e-02  2.1106e+00  1.09   9.91   2.209 0.01  0.003 0.003 0.016 0.05 
I  2M21380035+4333570 4429.99 1.82  -0.271  0.059  3.8674e-01  1.0844e+00  1.09   9.5    2.233 0.01  0.003 0.003 0.019 0.059
I  2M21380514+4308225 4751.51 2.65  -0.671  0.265 -3.4960e-02  2.2674e+00  1.07   9.08   6.186 0.013 0.005 0.003 0.016 0.046
I  2M21381051+4320038 4264.79 1.9    0.04   0.043  2.5080e-02  2.5188e+00  1.35  11.25   1.933 0.009 0.002 0.003 0.015 0.047
I  2M21381490+4340154 4988.42 2.62  -0.04   0.006  1.4333e-01  1.6692e+00  1.11   8.22   4.687 0.012 0.004 0.003 0.022 0.062
I  2M21381658+4210266 4981.45 3.25  -0.122  0.164  3.4502e-01  1.2924e+00  3.46   8.22  14.513 0.019 0.009 0.006 0.034 0.099
I  2M21381804+4255042 4536.22 2.13  -0.11   0.024  5.4579e-01  7.6622e-01  0.36   8.05   1.32  0.005 0.001 0.002 0.011 0.032
I  2M21381825+4202104 4509.62 1.84  -0.581  0.132  5.3010e-02  1.7351e+00  1.9   12.69   4.118 0.016 0.005 0.005 0.028 0.087
I  2M21381923+4236164 4866.99 2.73  -0.546  0.181  1.5636e-01  1.5847e+00  1.33   9.33  10.94  0.02  0.008 0.005 0.025 0.073
I  2M21382016+4222314 4559.81 1.92  -0.398  0.083  4.0783e-01  9.4772e-01  1.71   8.99   3.551 0.013 0.004 0.004 0.026 0.078
I  2M21382248+4228040 4460.99 2.06  -0.162  0.101  2.5630e-01  1.5680e+00  1.35  10.29   3.14  0.013 0.003 0.005 0.025 0.079
I  2M21382629+4232122 4526.3  2.12  -0.064  0.04   5.3595e-01  6.9387e-01  0.72   8.64   1.939 0.008 0.002 0.002 0.017 0.05 
I  2M21382682+4208409 4652.62 2.65   0.028  0.033 -1.1329e-01  2.8226e+00  4.38   8.47   9.022 0.022 0.007 0.006 0.035 0.109
I  2M21382701+4221097 4769.1  2.59  -0.652  0.271 -3.3900e-03  2.0269e+00  3.81   8.49  10.558 0.023 0.008 0.004 0.027 0.079
I  2M21382977+4318550 4852.86 3.02  -0.16   0.088  2.6873e-01  1.6639e+00  0.9    8.09   5.323 0.008 0.004 0.003 0.015 0.043
I  2M21383099+4236368 4568.74 2.41   0.141  0.062  4.5886e-01  1.0454e+00  2.04   8.43   3.648 0.012 0.003 0.003 0.03  0.091
I  2M21383195+4333162 4872.5  2.56  -0.369  0.088  6.9140e-02  1.8618e+00  1.07   8.49   6.472 0.015 0.005 0.004 0.022 0.065
I  2M21383363+4230539 4886.9  2.54  -0.001  0.019  3.5365e-01  1.1882e+00  1.06   8.33   5.287 0.013 0.004 0.003 0.029 0.082
I  2M21383835+4305065 4840.43 2.34  -0.498  0.224 -3.6042e-01  2.9364e+00  1.29   8.71   7.076 0.014 0.006 0.004 0.019 0.05 
I  2M21384132+4224231 4759.45 2.65   0.162 -0.002 -1.2060e-02  2.4202e+00  3.42   8.14   7.139 0.017 0.005 0.004 0.028 0.087
I  2M21384347+4315118 4951.43 3.16  -0.15   0.079  2.9177e-01  1.5674e+00  0.52   8.03   4.264 0.006 0.003 0.002 0.011 0.032
I  2M21384410+4123104 4879.65 2.36  -0.344  0.117 -1.3774e-01  2.3305e+00  0.47   8.08   3.349 0.007 0.003 0.003 0.012 0.032
I  2M21384798+4218581 4658.89 2.73  -0.548  0.238 -2.5640e-02  2.4841e+00  3.66   9.29   8.594 0.019 0.008 0.005 0.028 0.084
I  2M21385435+4240398 4987.5  2.72   0.058  0.028  8.9399e-01 -3.3555e-01  0.58   8.03   3.671 0.008 0.003 0.002 0.014 0.04 
I  2M21385462+4234131 4947.79 2.85  -0.222  0.081  1.7850e-01  1.6038e+00  1.88   8.1    7.904 0.016 0.006 0.005 0.026 0.079
I  2M21385492+4216021 4975.18 3.21  -0.065  0.05   4.1940e-02  2.3494e+00  2.91   8.05   8.751 0.014 0.006 0.004 0.023 0.069
I  2M21385623+4127057 4896.43 2.45  -0.191  0.071  1.6889e-01  1.5762e+00  0.93   8.25   4.576 0.011 0.004 0.003 0.023 0.065
