ID,OC,ra,dec,g_mag,g_mag_err,Teff,Teff_err,ref,cal_lum,cal_lum_err,mem_prob
604915877008228096,M67,132.70003836007,11.82819475546,14.381816,0.00023159816829547729,5801.0,36.0,A,1.0747495321663596,0.02671738552899841,1.0
604916426764198400,M67,132.87226272823,11.75766746773,12.682125,0.00018610370188115082,5085.16552734375,91.46673583984376,C,5.593352650456926,0.19158795630741887,1.0
604916667282344576,M67,132.93331604558998,11.77346991477,12.601736,0.00017938979293157388,5459.5,91.46673583984376,C,5.696604667839424,0.15759402015655555,1.0
604916770361557504,M67,132.93636483741994,11.77944464051,12.7393675,0.00017004996033255105,5110.380859375,91.46673583984376,C,5.280712380593309,0.17779909931556745,1.0
604916976519989248,M67,132.92284679368998,11.793367804879999,13.9570675,0.000221365584531488,5938.0,70.0,E,1.5781192445180396,0.03978914103497545,1.0
604917010879734528,M67,132.90026568938,11.79639075268,14.317329999999998,0.0002438038077544953,5892.0,23.0,G,1.1349234117093083,0.0282820562119804,1.0
604917148318677120,M67,132.92002280088002,11.81820990511,13.669246,0.00019391478479572968,6151.0,48.0,F,2.042017351530029,0.05344391589595447,1.0
604917281461920256,M67,132.83380131978,11.778253049649999,12.637296,0.00018953035707777827,6172.0,47.0,F,5.27970841012272,0.1389787144985984,1.0
604917281461922432,M67,132.83557913853,11.768011144910002,13.056709,0.00029292149848985955,6153.0,70.0,E,3.589645281225012,0.09412044450036967,1.0
604917629355040896,M67,132.84220101745,11.807752217260001,15.455043,0.0006324049218815888,5076.0,77.0,A,0.4357932894738015,0.01441952124713215,1.0
604917831217881728,M67,132.88839142306006,11.814250136460002,12.570298,0.0001887969943938589,6121.0,39.0,F,5.623298766902229,0.14596348654307273,0.998
604917865577461888,M67,132.89278249803002,11.82883869668,12.729687,0.00017865840724807567,6360.0,200.0,B,4.832549577675861,0.1359656121219438,1.0
604917972952399232,M67,132.90580993895,11.83479438266,12.449357,0.00015235129398042058,6087.0,42.0,F,6.292223136748527,0.16201883377775347,1.0
604918140455366528,M67,132.86639908153998,11.836631297019998,14.248149,0.000250405986424785,5915.0,35.0,G,1.2082628906446111,0.03021388927250292,1.0
604918247830309376,M67,132.88293998606,11.85461580222,13.864686,0.00024888251238916166,6111.0,42.0,G,1.707498326155986,0.044218460611896514,1.0
604918247830312576,M67,132.87480074618,11.852504096199999,13.957524,0.00020706857515503092,6028.0,29.0,G,1.5717828367067692,0.03994212767518407,1.0
604918522708192256,M67,132.99484112225,11.83402907951,14.157154,0.00023010893579540468,5881.0,52.0,A,1.3160550273802725,0.032909998631415804,0.999
604918591427678848,M67,132.95807099554,11.825320349989994,12.487432,0.000181190741344562,6008.0,33.0,F,6.0918505891895816,0.15427878789050034,1.0
604919209902956160,M67,132.99410914625,11.87091047884,15.084614000000002,0.00036006860677668425,5428.0,57.0,A,0.5807742901046994,0.015568114479960706,1.0
604919583564564096,M67,132.9619372237,11.86903096501,15.630089000000002,0.00048298943728355135,5013.0,94.0,A,0.3757215226084469,0.013653142119436036,1.0
604920549932808320,M67,132.81265907111,11.82252647523,14.000402,0.00026012000662730675,6042.0,48.0,A,1.510172924255281,0.03853490197013736,1.0
604920648716270848,M67,132.82720652908,11.82263072107,12.504985,0.0001760101083948798,6026.0,39.0,F,5.990176027872512,0.15226743775491894,1.0
