ID,g_mag,g_mag_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,Teff,Teff_err,ref,feh_table,feh_count,ra,dec,mem_prob,cal_lum,cal_lum_err,value
2076299276664661248,14.927258499999999,0.0003191054417030449,,5.562483,0.8084220999999999,2461.64047452785,132.62749481863008,6332.0,32.0,2015AJ....149..121L,"[[6332.0, -0.08, '2015AJ....149..121L']]",1.0,295.28108360531,40.1328463168,1.0,5.424943662458202,0.1535280336635126,1.7810138294675184
2076299311024407936,15.071249,0.00044490220114904805,,5.3840857,0.8875636999999998,2580.9864004451397,163.83825654665998,6332.0,32.0,2015AJ....149..121L,"[[6332.0, 0.02, '2015AJ....149..121L']]",1.0,295.29170234389,40.13715251812,1.0,4.7511531057583465,0.13446634019529602,1.8386100361325572
2076299379743863936,15.078628,0.0003303552787540506,,5.2074223,0.83659315,2544.79513312408,156.6353032305196,6426.0,32.0,2015AJ....149..121L,"[[6426.0, -0.1, '2015AJ....149..121L']]",1.0,295.26371932429004,40.126593894109995,1.0,4.714005072913821,0.13821250843061064,1.906017166606205
2076299414103588224,15.280747,0.0006652225363842678,,3.7609792,0.9217329,2406.39762122034,283.74427083795985,6455.0,32.0,2015AJ....149..121L,"[[6455.0, -0.1, '2015AJ....149..121L']]",1.0,295.2352087486201,40.12799461492,1.0,3.9124009818195717,0.11607293218567423,2.0065191068036943
2076299414103590016,15.789435999999998,0.0004979246751928754,1.0077,3.3746300000000002,0.7572262,2825.58925732213,269.36157152551004,6360.0,32.0,2015AJ....149..121L,"[[6360.0, 0.05, '2015AJ....149..121L']]",1.0,295.23196199486,40.13550119866,1.0,2.45112279826085,0.0700799951523892,2.1452060870634995
2076299585902421760,14.797574,0.00027788989622997193,,9.744525,1.6001768,2883.7747743550103,169.88288079525,5041.0,32.0,2015AJ....149..121L,"[[5041.0, -0.05, '2015AJ....149..121L']]",1.0,295.27723558347,40.166360675279996,1.0,6.829832347693424,0.21256012323824747,0.6907569312219763
2076299620262070912,15.431235999999998,0.0004108718428129118,,4.2655115,0.8377638000000001,2699.2378600394895,217.0083167940702,6488.0,32.0,2015AJ....149..121L,"[[6488.0, -0.12, '2015AJ....149..121L']]",1.0,295.3181249755,40.1387548533,1.0,3.40532441331965,0.10240496592529227,2.0889499200984147
2076299757701051648,14.349932,0.00021290508546665006,,10.040005,1.3055553,2474.15998912832,109.8279678399399,6148.0,32.0,2015AJ....149..121L,"[[6148.0, 0.05, '2015AJ....149..121L']]",1.0,295.32902629334,40.16247830719001,1.0,9.266325736455686,0.2476955651064924,1.4204310255138919
2076299757701064832,14.409524,0.0004139075717714264,,8.218661,1.0969191,2319.95404856023,111.72733822152986,5963.0,32.0,2015AJ....149..121L,"[[5963.0, -0.03, '2015AJ....149..121L']]",1.0,295.33104360988,40.17389206252,1.0,8.826285251427766,0.2274110980963063,1.3088701344161038
2076299792060818560,15.038745,0.00033276337775527923,,4.4727635,0.62826705,2313.25554987317,122.74710889536028,6368.0,32.0,2015AJ....149..121L,"[[6368.0, -0.1, '2015AJ....149..121L']]",1.0,295.34726985451,40.17293803,1.0,4.893277204334676,0.14030839196304126,1.85043072804082
