RA DEC TEFF TEFF_ERR
133.859252 10.905204 4121.6 91.5
175.817651 0.920436 4687.5 91.5
175.943198 0.511118 5505.9 91.5
175.977347 0.555451 6156.8 91.5
176.003919 0.576753 5925.0 91.5
176.171787 0.533095 5391.8 91.5
176.264143 1.356625 3965.9 91.5
176.352551 1.421482 3901.0 91.5
176.602899 1.04024 4534.5 91.5
176.655994 -0.883617 5165.7 91.5
176.923717 -0.742652 5063.3 91.5
177.079966 1.305163 3957.7 91.5
177.849168 0.560777 5104.999 91.466736
177.913227 0.662635 4993.0 91.5
181.210959 19.194347 5180.6 91.5
182.709619 19.182278 4643.2 91.5
182.856499 19.141539 4934.7744 91.466736
183.470857 14.329236 3838.5 91.5
183.951908 13.824516 3784.0 91.5
184.067173 14.190332 4424.5 91.5
184.140727 14.179722 3967.6 91.5
184.200902 14.930847 3594.4 91.5
184.290348 -0.715299 4577.682 91.466736
184.606975 0.808046 4565.9 91.5
184.653061 14.769865 4785.9 91.5
184.852336 0.004777 4839.5 91.5
185.210484 13.942782 4743.3 91.5
185.29989 27.076099 4211.8 91.5
185.320616 13.973151 3939.3 91.5
185.331986 -1.075627 4482.6 91.5
185.335576 13.883223 4510.8 91.5
185.412205 14.421461 3857.1 91.5
185.518792 14.228852 5063.9375 91.466736
185.593857 14.576853 4574.9 91.5
185.699942 13.557191 4454.1 91.5
185.717669 25.066669 4599.807 91.466736
186.101375 0.012503 5121.4 91.5
186.187022 26.677391 4689.8027 91.466736
186.40606 25.770201 3766.4 91.5
186.600076 25.261957 4700.7656 91.466736
186.794006 -0.500467 5076.3955 91.466736
186.919805 0.126878 4029.6 91.5
189.652634 -7.613328 4915.44 91.466736
190.051009 -6.810075 4367.2 91.5
190.482505 -8.154309 5732.2 91.5
191.25893 -7.419801 4956.9995 91.466736
196.805662 16.999769 3838.8 91.5
197.205995 17.090996 5168.5 91.5
197.290403 16.511635 4823.351 91.466736
197.290959 17.199223 4538.315 91.466736
197.406371 17.161076 3971.0 91.5
197.551346 18.194721 4801.8 91.5
197.695008 17.993437 3996.6 91.5
198.091033 16.592793 3956.2 91.5
198.178987 17.241301 5033.5405 91.466736
198.324061 17.092392 4856.9 91.5
198.388241 15.703737 4660.8 91.5
198.564614 17.004713 4698.0 91.5
198.765204 18.111858 4487.7856 91.466736
204.703916 18.67153 4599.3 91.5
205.229746 27.161955 4678.9395 91.466736
205.425727 18.091501 3901.4 91.5
205.601628 28.858358 5086.5615 91.466736
205.632484 19.425795 3831.8 91.5
205.680294 17.720869 4360.5 91.5
205.813658 19.180311 4075.5 91.5
205.887825 17.521532 3994.6 91.5
205.960216 28.010679 4684.4214 91.466736
206.271348 26.851437 5137.2 91.5
206.429586 18.328913 4810.8 91.5
206.439842 16.958548 4919.6 91.5
206.548036 26.888453 5698.9 91.5
206.862087 27.741499 5583.5 91.5
206.940947 17.476791 3773.1 91.5
207.04297 28.662968 4484.5 91.5
207.086402 28.265268 4991.7817 91.466736
207.128236 17.756357 4980.819 91.466736
207.545837 18.312889 5687.8 91.5
211.414367 27.739725 4646.7 91.5
228.451905 0.008688 4881.355 91.466736
228.507271 2.039751 5052.676 91.466736
228.59504 0.402862 4550.1 91.5
229.511585 0.509473 4861.9204 91.466736
229.591062 1.785875 5476.941 91.466736
