ID,g_mag,g_mag_err,rp_mag,rp_mag_err,bp_mag,bp_mag_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,ra,dec,mem_prob,Bp_Rp,Bp_Rp_err,value
573552475329793152,16.79861,0.0008088903758853989,16.16639,0.005330350382127253,17.27994,0.011908498669199942,0.704,,,2006.69014590353,327.6832835478001,12.26454233682,84.907227869,1.0,1.1135502,0.013047029384138787,-2.969059
573552651425754240,17.226868,0.0011378786451917875,16.54077,0.005989685878853076,17.776478,0.009183440707644408,,,,1710.11719897341,306.18156175632,11.78620727036,84.86778657442,1.0,1.2357082,0.010964119670915325,-2.9392242
573555503284019712,16.270048,0.0005897337184050687,15.703409,0.0025286031613494806,16.695694,0.0038879666851394288,0.55,1.0219251,0.20788538,1926.87660136694,179.27214791087022,10.26646597991,84.92438255117,1.0,0.9922848,0.004637900267614717,-2.8952427
573555881241149440,16.741003,0.0010340201858391404,16.130888,0.0041650260960703145,17.2176,0.006341482815582812,,,,2051.33373243093,314.0035963823102,11.202654056039998,84.90417299529,1.0,1.0867119,0.007586952397457021,-3.0120955
573556396637219328,15.355145,0.0005883067099603345,14.827325,0.0020424443097578596,15.723644,0.004738794096621536,0.468,1.798704,0.25584972,1723.78184239603,105.41120249678988,11.28848854316,84.93365989299,1.0,0.8963194,0.0051602081594289756,-2.34021
573556602795639168,15.649022,0.0005790313805909268,15.126775,0.002429521041688139,16.021,0.002592547085806336,0.53,1.5435393,0.25758004,1807.27181205386,133.90197864929996,11.07752158878,84.97765031879001,1.0,0.8942251,0.0035530089901558578,-2.64194
573557221270929408,15.831078,0.0006224343456621151,15.307017,0.0014265508839214805,16.19569,0.003852890895555131,0.298,1.2190747,0.17909896,1770.26953305433,111.84091489446996,10.05139606247,84.96200631706999,1.0,0.8886728,0.0041085052850725135,-2.8448162
573557564868306560,15.550554,0.0005168626048127574,15.019793,0.002335716198751006,15.921874,0.0027637933815244458,0.5468,1.6600085,0.23351061,1791.41649618224,106.22873090074995,10.34664525407,85.0003137401,1.0,0.9020815,0.0036185803869564896,-2.5140104
573557564868307584,17.028887,0.0009683129903158266,16.393219,0.005029213380035702,17.528908,0.009635392163361973,0.6997,,,2171.9031422963,349.74322356710036,10.32169592923,84.99321074016,1.0,1.1356888,0.01086893598121304,-3.1163158
573562169073257216,17.590862,0.0014759400794440683,16.907663,0.006507651643942811,18.156498,0.010425369146619685,,,,1504.91914108279,270.15499517173,8.406697385900001,84.91423001516,0.9,1.2488346,0.012289745797297894,-3.253994
573565295809437568,16.753754,0.0007035313916964564,16.104214,0.0029108588399927113,17.25355,0.005715706427949049,0.752,0.685554,0.16670394,1897.71327914766,223.74314584097988,7.93241767469,84.96144473993,1.0,1.1493359,0.006414234105242947,-2.7900066
573567563552175104,16.046436,0.0005562250371742237,15.509693,0.0019205938770811791,16.434881,0.0040044684197357875,0.315,1.2389574,0.21423578,1931.31487812244,146.1396959842,9.79432012796,84.97375953830999,1.0,0.92518806,0.004441221472223937,-2.9232426
573569315898823936,16.91289,0.001126453604240787,16.292189,0.004264135024538269,17.387154,0.006724922098419779,0.563,0.7695098,0.22829497,2132.48205541333,318.0300817079401,9.36030375586,85.00703274123,1.0,1.094965,0.007962877918021138,-3.1530323
573569453337775616,15.814697,0.0006231752321683786,15.294087,0.0019581757442465385,16.173616,0.0048522526199478505,0.508,1.4574844,0.25798237,1911.26653378696,149.63993971328978,9.49476252287,85.0259330506,1.0,0.879529,0.005232476252516227,-2.8627253
573570003093582592,17.269754,0.001151256668448918,16.602945,0.006773745654986067,17.787546,0.016502742368448512,,,,1528.84531788561,203.06458388767987,9.534979965189999,85.07687067106,0.9,1.1846008,0.017838837851099725,-3.1737633
573570484129918720,15.712763,0.0004533710132520674,15.189383,0.001705137208027169,16.073088,0.002585386339717467,0.5805,1.7108512,0.25433612,1976.56882940458,121.04202345468002,8.402611582030001,85.06814034863001,1.0,0.88370514,0.0030970494706730745,-2.7451305
573570621568869760,15.640878,0.00047304244863290455,15.10164,0.001106910643687616,16.013872,0.0028268325793773474,,1.7497381,0.25065053,1908.65037563996,112.85455036376993,8.51381346487,85.09097741720001,1.0,0.9122324,0.003035825028709349,-2.566268
573570720349837568,16.735209,0.0007507578051972649,16.14242,0.003616428248149063,17.189894,0.006788415747312611,0.2052,0.53020287,0.11548281,1694.19508025503,181.25115827899003,9.07425226707,85.08960262641,1.0,1.0474739,0.007691628022231206,-3.1534433
573574607298514560,15.36917,0.0004875613951051675,14.866354,0.0015054266571443372,15.713351,0.0023127744306873687,0.4963,1.8836966,0.22461796,1781.49318999754,82.73440029988001,7.319135469430001,85.13017668955,1.0,0.84699726,0.002759571522407429,-2.5391922
573619755994600192,17.055,0.0009174522750579338,16.418352,0.007286229220844867,17.53996,0.009225152112964374,0.3685,0.46110442,0.1170719,1796.24378990636,226.21006241989994,6.656670172359999,85.09670590011,0.9,1.1216087,0.011755533495593667,-3.1952295
573620065232233472,16.298147,0.0006218702246750604,15.723029,0.0031417054721801715,16.710495,0.00809035031009988,0.571,0.9713084,0.18036872,1906.76887363684,158.8150935727299,6.14281808888,85.14268548818,1.0,0.98746586,0.00867894471776725,-2.941412
573622436054166400,15.307907,0.0004190188771945969,14.780476,0.001815656112199692,15.671518,0.0039854885909054285,0.6697,1.8178899,0.21556687,1702.54822253418,80.15626998233006,6.61665330211,85.22060843519,1.0,0.8910427,0.004379580622160693,-2.3127594
573739877638305920,15.157716,0.00035854132042412325,14.594854,0.0014803309741671436,15.563833,0.002801736955790783,1.5885,2.2817557,0.27745032,1749.7495012034,84.27257515477982,13.255552319949999,84.89251097534999,1.0,0.9689789,0.0031687710176853184,-1.870307
573740113859803264,15.825535,0.0005439885905971356,15.268396,0.002173629759037485,16.228325,0.002620839837484579,1.4013,2.2622747,0.47235966,2303.26805344904,206.73173128684994,13.40416899073,84.92025495628,1.0,0.9599285,0.0034049181756863924,-2.5720654
573741561265580928,15.89559,0.0005693159146096634,15.343969,0.0027743787356613665,16.286427,0.002699741332852283,0.617,1.4901147,0.2635193,1969.29609023319,152.2352006527301,14.31642579145,85.00018900508,1.0,0.9424572,0.0038711471985964294,-2.7076378
573742209803867008,16.407948,0.0008032352032700435,15.812653,0.0034754493847747236,16.845509,0.005202686323903432,0.3953,0.7609825,0.16757351,1745.46313414443,187.61318290100007,13.751479312329998,84.98883322620999,1.0,1.032856,0.006256731847463403,-2.8809996
573742592057631232,17.044413,0.000813735528705486,16.363323,0.01606915777798227,17.532715,0.06548409257155997,0.248,0.36740854,0.09068981,1610.23368725631,202.1348377178199,13.44586436205,85.02992106335999,0.9,1.1693916,0.06742688048259629,-3.005456
573742626417369728,15.3735695,0.0004441085270344791,14.843333,0.001605458079689543,15.743727,0.002615844299365754,0.7725,1.9792498,0.26645768,1813.10188336197,100.71096979497997,13.4883096557,85.03032582146,1.0,0.9003935,0.0030692241762642148,-2.3433561
573743313612256128,15.411051,0.00041908139403367637,14.811471,0.002454282568751587,15.839731,0.0032788344477007124,0.9948,1.8816704,0.22863233,1763.59205928163,84.53017329301997,16.22841009358,84.93148838741999,1.0,1.0282602,0.0040956389321700135,-1.9013367
573743382331728896,15.430302,0.00046418153930854756,14.859852,0.0018593182921725394,15.838997,0.0030634552260026073,1.48,2.353623,0.35612786,1989.86422173274,124.46157023364026,15.97944318813,84.94633115050999,1.0,0.97914505,0.003583548860184565,-2.1047697
573743691569366528,16.770432,0.0007568203593695204,16.146568,0.003718923094852426,17.261034,0.005530380432776594,0.671,0.7518837,0.1937086,1997.67592477486,247.6811440490601,15.657238025429999,84.97932663611,1.0,1.1144657,0.00666449523344904,-2.9374466
573744103886519040,15.909746,0.000530843586688378,15.346109,0.0023773385108080765,16.314653,0.004710092055456049,0.4485,1.2569481,0.21061254,1827.46738146323,135.54332136377002,15.24273660769,84.99164023931999,1.0,0.968544,0.005276050186061668,-2.6239681
573744688001774080,15.535738,0.0004368513543679953,14.992898,0.00266145290011882,15.916364,0.0028739330970034235,0.9415,2.022968,0.31815135,1944.8433813199,129.4640052674199,15.151038795829999,85.00144753559,1.0,0.9234657,0.003916991573338213,-2.4190035
573745817576439680,16.349789,0.0008082014548064144,15.782532,0.0037538646167689974,16.76536,0.0059330467725856395,0.5553,1.0430411,0.27201128,1994.92895513244,250.8408028782801,16.089927591379997,85.06211751855,1.0,0.98282814,0.007020864873127749,-3.0104446
573747299341887488,16.938446,0.0008437192399419482,16.315468,0.006125671514295868,17.419432,0.007602324151244567,,0.47806582,0.1284261,1740.30405996121,235.80138200657007,14.74953460593,85.01049090449,1.0,1.1039639,0.009763154408368857,-3.144844
573747432484111104,16.718126,0.0007458645405284786,16.113283,0.004661383256547056,17.183582,0.0072931421066282165,0.5792,0.76246953,0.22209662,1984.9941400847,288.3056045105602,14.250613269870001,85.01310374172,0.9,1.0702991,0.008655542481664029,-3.050766
573747535563330560,17.155792,0.0009446416017834474,16.503801,0.005744801428504192,17.682413,0.010912263369283465,,,,2103.25277417325,361.37162588724004,14.16518374762,85.02940609334,1.0,1.1786118,0.012332081547474033,-3.0822601
573747883457427584,15.336721,0.00044016018185670687,14.805461,0.0017269706866491165,15.703622,0.0035956739489949137,,2.6695716,0.3990121,2049.6206110464,124.31944856028986,14.851286746139998,85.07008251415999,0.9,0.89816093,0.0039888969527960986,-2.3148804
573748089615854848,17.396574,0.0010722857502740016,16.71477,0.009222072270727265,17.947382,0.015221518348658465,,,,1585.58882945146,249.46658562256994,14.35520500043,85.07705395191,0.9,1.2326126,0.01779722556481945,-3.1205387
573748261414555520,16.150536,0.000611670588896124,15.584489,0.002426899940831386,16.57652,0.00402378408423727,0.531,1.2630879,0.24721181,2024.49754313156,176.27388676705027,13.978187207229999,85.03126217538001,1.0,0.99203205,0.004699008584730246,-2.7766771
573748600715229952,16.664207,0.0007527608511149101,16.068565,0.0034718732564598086,17.107513,0.00485920970768456,,0.90633017,0.24549156,2093.25818087466,270.52037490553994,13.407584199530001,85.07261222294001,0.9,1.038948,0.005972086979622509,-3.1144142
573748742450797952,16.101868,0.000592254792909184,15.532965,0.003273928220842591,16.516788,0.0036580941722534842,0.499,1.0240395,0.19103849,1797.05653856081,153.65468638223,13.503198540210002,85.08758197627,1.0,0.9838238,0.004909201459331694,-2.758791
573748806873663744,15.97807,0.00063367435541891,15.427038,0.0028140461781795303,16.387587,0.0034690171032396837,0.269,0.9369256,0.153516,1638.40390810501,122.62913230419008,14.138324302910002,85.06816637128,1.0,0.9605484,0.004466870890847,-2.7222757
573748841233408384,17.242817,0.0010133179132988286,16.524435,0.007801311064225501,17.766571,0.01048559207573544,,,,1763.45992759373,270.9913485447298,14.078323099120002,85.08548829258001,0.9,1.242136,0.013069357118830791,-2.9310684
573748879889832192,15.930809,0.0007265243636632739,15.324408,0.0038083560385147766,16.3846,0.004468137509245035,,1.094602,0.1919055,1704.24506349013,137.1694362471601,13.84087532209,85.08761355619,1.0,1.0601921,0.005870930805043983,-2.3013506
573749979401455360,15.83839,0.0005453847632283166,15.301881,0.0016233009174313813,16.227457,0.0038948919989561822,,1.2922819,0.19766927,1804.4820188971,119.34224046076997,14.934492731620002,85.13263457603,1.0,0.9255762,0.004219631447421261,-2.7137413
573750254279357440,16.078249,0.0006182232722422714,15.513715,0.002551220209038901,16.493532,0.004745100874548987,0.467,1.1440191,0.20921183,1877.39702186898,154.19014728338016,14.516650651329998,85.15119078162,0.9,0.9798174,0.005387458293541961,-2.7501955
573750426078043136,16.412167,0.0007225560203202073,15.826969,0.0022573144677183175,16.850866,0.0063808313904819385,0.3775,0.87568235,0.19204068,1867.46151399385,195.6012323640698,14.693018097160001,85.18068118003,1.0,1.0238972,0.006768343803319251,-2.9188137
573750559220352768,17.254595,0.000957781099180172,16.57394,0.006617339771357451,17.802383,0.011142682279886146,,,,1863.84640302574,305.76640935985006,14.014774894989998,85.14959687814999,1.0,1.2284431,0.012959496673871166,-2.994195
573750804035167488,15.933228,0.0005199441423734231,15.390224,0.002076748078288109,16.32454,0.004009166442044691,0.4163,1.2096006,0.20865548,1814.51097645151,140.04113794073987,13.7250777451,85.15745110550999,1.0,0.9343147,0.004515118840151457,-2.7758093
573750804035168128,16.87417,0.0008985400435151625,16.246834,0.00590942030489041,17.359718,0.006620253768726524,0.3147,0.47608244,0.11650437,1700.51867790336,208.2869880009,13.679310533039999,85.15433999906,1.0,1.1128845,0.008874063798631877,-3.0471153
573750941474117248,16.181843,0.0006337271482715071,15.616391,0.0027202972731609717,16.602865,0.004294430527136601,0.4717,1.2250739,0.2787602,2013.00687425145,215.03137590530014,13.69648264599,85.17734696710001,1.0,0.98647404,0.005083517562354808,-2.828827
573751353790973184,17.269297,0.0011240504937509513,16.603197,0.005205992368783166,17.785786,0.012377584353822059,,,,1848.41962220136,313.6400580212701,13.905025944470001,85.19824608949,0.9,1.1825886,0.013427842379913804,-3.180851
573757366745224064,16.384453,0.0007084665780907835,15.76373,0.0044943661899168276,16.835266,0.007461034186826217,0.478,0.70874035,0.14256275,1677.73761836697,160.7118863835599,17.007010387679998,85.05922306715,1.0,1.0715361,0.008710129653802924,-2.7124548
573757916501026048,15.219144,0.00047658974941593266,14.688254,0.0016009454940231899,15.588154,0.0036048317125845605,1.173,2.3173242,0.31104994,1819.81501677282,100.49201749239,17.18336380948,85.1114829616,1.0,0.8998995,0.003944342549891996,-2.1907825
573758187083151488,16.583132,0.0007482918308112426,15.975311,0.003920219729371851,17.051443,0.005774648905739109,0.649,0.8039506,0.20909911,1929.20612924533,244.3490884964499,18.277717742,85.08266622998,0.9,1.0761318,0.0069795911564439215,-2.8939
573765819240817920,16.275621,0.0005544103927287133,15.674979,0.0022561395491221075,16.735973,0.004304242356974954,0.7007,0.88765645,0.15570009,1784.63282093948,141.47149013315993,18.33570813552,85.28228518191,1.0,1.0609941,0.004859698337622431,-2.643155
573770114208135296,17.301245,0.0009056053616675569,16.624893,0.006266403033717937,17.85075,0.014494565518359648,,,,1530.39432338207,208.10678863963994,16.42686097698,85.16535950867,1.0,1.2258568,0.01579114424438615,-3.0505438
573770732683419008,16.402819,0.0006514128018822895,15.82507,0.002809201130757346,16.842571,0.006005047636866189,,0.78085005,0.15111518,1790.40904931785,160.37345004312988,15.407972847229997,85.18699197521,1.0,1.0175009,0.006629646153007002,-2.9334526
573771694756091264,15.174328,0.0003734855771391627,14.649358,0.001390464609047231,15.541826,0.0026010923893567094,1.308,2.558233,0.32300854,1885.56255546964,92.36617520093,16.37575141544,85.20708154977,1.0,0.89246845,0.002949419171122047,-2.173833
573772347591107968,17.008215,0.0008782184406293091,16.372149,0.005377953598331606,17.517845,0.01017048378061721,0.6825,,,1950.9841223362,300.88927161127003,16.75699753611,85.27011126021999,1.0,1.1456966,0.011504830517552425,-3.058115
573772549452955904,17.450699,0.001004671644400831,16.765331,0.00599148961606967,17.98781,0.022915202548378928,,,,2018.83769794641,377.8148851113999,16.06478604009,85.23385118882,0.9,1.2224789,0.02368553262336954,-3.2126656
573773958202215168,16.552246,0.000654456080616411,15.966188,0.0033580288349204825,16.993874,0.008785869069517432,0.3917,0.7914509,0.17427379,1887.36484537698,197.9627465020901,14.86250885556,85.21532015132,0.9,1.0276852,0.009405735110179348,-3.0446892
573774031218293248,15.229193,0.0003503228466120893,14.709947,0.0017612887199530034,15.590038,0.001918878575236508,,2.3914745,0.34241557,1870.91889360899,111.51334437040009,14.76564176554,85.22664056155,1.0,0.88009167,0.0026046560121320015,-2.2751112
573774065578392448,16.311241,0.0006167599531211555,15.736025,0.0026574645872289053,16.74595,0.005522007707944891,0.336,0.75353605,0.13449782,1682.56467511079,139.02308710678994,14.841583554620001,85.23783673468999,1.0,1.0099258,0.00612818791805363,-2.8702812
573774718413058944,16.439154,0.0006949101505517585,15.87083,0.0037221030577099606,16.864754,0.006500081185152002,0.231,0.66981566,0.13960111,1698.20575417443,172.14548373321009,14.327972133720003,85.22923007506,1.0,0.99392414,0.007490334210553017,-3.0582
573774924571850496,15.560734,0.0005089617914531093,15.007639,0.0018148511745213246,15.940746,0.0033231649715745313,0.6957,1.7265351,0.24914253,1817.89415714156,110.86670513929994,14.06492172448,85.24451153180999,1.0,0.9331074,0.003786437668041214,-2.4078426
573775023354112384,16.249886,0.0006248429781532786,15.69618,0.002977018739467864,16.647425,0.0049813690304672635,0.318,0.9370584,0.17210561,1841.7437113757,153.09471363114994,14.05257557,85.25096906287,1.0,0.95124435,0.005803161034543259,-3.0289812
573775332591773056,16.46616,0.0006292544627675668,15.89342,0.0037114904096230803,16.891195,0.007487342616298019,0.2615,0.632899,0.114872694,1679.22194939524,141.74247640824,14.66504913471,85.28809465878,0.9,0.9977751,0.008356761365179488,-3.0707655
573775508687032320,15.875793,0.0005878538555084932,15.339399,0.002008601680580214,16.246914,0.004924242830994326,0.2693,1.0431774,0.14484406,1653.30688234662,99.46650661255012,14.36899225659,85.28480674405,1.0,0.9075146,0.005318143300986603,-2.8188763
573775611766243840,15.416983,0.00044153209496255313,14.887529,0.0017902152031155042,15.783819,0.002677810798872514,0.654,2.0465772,0.2725314,1874.51864300177,100.97538587988993,14.269769762370002,85.30615726431999,1.0,0.8962898,0.003221108683050626,-2.4021578
573775641829426688,17.309294,0.0010534859815436127,16.649578,0.005249327296835053,17.844725,0.014469334151613044,,,,2080.35640376561,386.10877551281965,14.372064767489999,85.31965645446,1.0,1.1951466,0.015392110571988922,-3.1737556
573776333320750464,16.808372,0.0007563648681841941,16.19055,0.003656391094539174,17.279224,0.01242533519011704,0.4225,0.53456116,0.11317712,1750.96148895285,179.22887925952,15.75267983076,85.31888473785,0.9,1.0886745,0.012952148486756404,-3.0721054
573779494416674560,16.362555,0.0005930753167237143,15.756428,0.003076338281308117,16.827326,0.004296905230097196,0.584,0.7391699,0.12012279,1694.97448180754,124.07935917639998,16.27797511472,85.35750533274,0.9,1.070898,0.0052846240904607785,-2.6929493
573780662647770240,15.629188,0.00044818750861993714,15.093126,0.001982824012569387,16.009033,0.0029931667421211924,0.564,1.4931365,0.19586611,1764.53911050325,95.67917026021996,17.18080462405,85.41331647438001,1.0,0.9159069,0.0035903534938724565,-2.5407982
573782346274961280,16.899559,0.0008066826657466584,16.270897,0.00513167960111158,17.380308,0.007147121662031149,0.449,0.57077885,0.13759047,1856.21110374877,217.73692475993016,15.849822102129998,85.34319240744,1.0,1.1094112,0.008798606911343385,-3.0855293
573782380635076736,16.120396,0.0005561612015528022,15.520603,0.0025018627961879607,16.567982,0.004227386369240145,0.6902,1.0276368,0.16929865,1810.09344760969,131.73922747296,15.857204865939998,85.35832285443001,1.0,1.0473785,0.004912241134735429,-2.538988
573783445786576768,17.15421,0.000901558872752496,16.5024,0.006132155741451019,17.657715,0.009824013789031909,,,,1888.50148006332,277.99827779571,15.058483116089999,85.40163059947,1.0,1.1553154,0.011580784989131771,-3.1680384
573784339139761920,15.273831,0.0003449716434169381,14.7397,0.0014846375217241218,15.642486,0.002339372849007905,,2.5001903,0.33230305,1929.53630989982,102.21603434297003,14.55548046671,85.47688543794001,1.0,0.9027853,0.002770706389639022,-2.2346487
573785232492958976,15.550154,0.000421159696413465,15.008027,0.001717205148555214,15.942217,0.002798926479112952,0.7662,1.8025633,0.22368205,1858.67400295249,89.44437715852018,16.45182685741,85.50089730148001,0.9,0.9341898,0.0032837148106533496,-2.3932037
573785850968248448,16.568308,0.000647022471653539,15.960946,0.0037923670324716973,17.038342,0.006036322359435712,0.815,0.89095205,0.1994471,2024.77489790287,211.42751854514995,15.34235499524,85.51141831377,0.9,1.0773954,0.007128761136130296,-2.8743372
