ID,g_mag,g_mag_err,rp_mag,rp_mag_err,bp_mag,bp_mag_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,tm_ID,K_mag,K_mag_err,ra,dec,mem_prob,Bp_Rp,Bp_Rp_err,value
573567563552175104,16.046436,0.0005562250371742237,15.509693,0.0019205938770811791,16.434881,0.0040044684197357875,0.315,1.2389574,0.21423578,1931.31487812244,146.1396959842,00391067+8458256,14.651,0.094,9.79432012796,84.97375953830999,1.0,0.92518806,0.004441221472223937,-2.9223938
573569315898823936,16.91289,0.001126453604240787,16.292189,0.004264135024538269,17.387154,0.006724922098419779,0.563,0.7695098,0.22829497,2132.48205541333,318.0300817079401,00372656+8500252,15.099,0.136,9.36030375586,85.00703274123,1.0,1.094965,0.007962877918021138,-3.1521835
573569453337775616,15.814697,0.0006231752321683786,15.294087,0.0019581757442465385,16.173616,0.0048522526199478505,0.508,1.4574844,0.25798237,1911.26653378696,149.63993971328978,00375878+8501333,14.289,0.075,9.49476252287,85.0259330506,1.0,0.879529,0.005232476252516227,-2.8618765
573570003093582592,17.269754,0.001151256668448918,16.602945,0.006773745654986067,17.787546,0.016502742368448512,,,,1528.84531788561,203.06458388767987,00380838+8504368,15.23,0.16,9.534979965189999,85.07687067106,0.9,1.1846008,0.017838837851099725,-3.1729145
573570484129918720,15.712763,0.0004533710132520674,15.189383,0.001705137208027169,16.073088,0.002585386339717467,0.5805,1.7108512,0.25433612,1976.56882940458,121.04202345468002,00333664+8504053,14.177,0.068,8.402611582030001,85.06814034863001,1.0,0.88370514,0.0030970494706730745,-2.7442818
573570621568869760,15.640878,0.00047304244863290455,15.10164,0.001106910643687616,16.013872,0.0028268325793773474,,1.7497381,0.25065053,1908.65037563996,112.85455036376993,00340333+8505276,13.989,0.057,8.51381346487,85.09097741720001,1.0,0.9122324,0.003035825028709349,-2.5654192
573570720349837568,16.735209,0.0007507578051972649,16.14242,0.003616428248149063,17.189894,0.006788415747312611,0.2052,0.53020287,0.11548281,1694.19508025503,181.25115827899003,00361780+8505225,14.875,0.12,9.07425226707,85.08960262641,1.0,1.0474739,0.007691628022231206,-3.1525946
573573370347796096,16.599808,0.0007132832600899234,15.999923,0.006720849605379292,17.029016,0.006410436115875306,0.314,0.60730666,0.11462188,1724.60437203468,151.60356114003002,00273055+8508090,15.233,0.164,6.877072635219999,85.13585180636,0.9,1.0290937,0.009287815169018249,-3.0861197
573574607298514560,15.36917,0.0004875613951051675,14.866354,0.0015054266571443372,15.713351,0.0023127744306873687,0.4963,1.8836966,0.22461796,1781.49318999754,82.73440029988001,00291662+8507485,14.052,0.061,7.319135469430001,85.13017668955,1.0,0.84699726,0.002759571522407429,-2.5383434
573619755994600192,17.055,0.0009174522750579338,16.418352,0.007286229220844867,17.53996,0.009225152112964374,0.3685,0.46110442,0.1170719,1796.24378990636,226.21006241989994,00263759+8505481,15.044,0.136,6.656670172359999,85.09670590011,0.9,1.1216087,0.011755533495593667,-3.1943808
