,ID,g_mag,g_mag_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,Teff,Teff_err,ref,feh_table,feh_count,ra,dec,mem_prob,cal_lum,cal_lum_err,value
28,2051293358582702336,17.377768,0.0012688083190212365,,,,3883.4455579294604,1554.3517411860805,5376.0,80.0,2011AJ....141...89S,"[[5376.0, 0.42, '2011AJ....141...89S']]",1.0,290.20849676994,37.79770838991,1.0,2.1208438925171866,0.07968592187358826,1.4780838975768802
30,2051293461661942016,17.98481,0.0016083502572816586,,,,2616.12316468572,1300.22083390714,5632.0,83.0,2011AJ....141...89S,"[[5632.0, 0.42, '2011AJ....141...89S']]",1.0,290.27789765408,37.80231716271,0.9,1.181103454371495,0.042361865116272365,1.9343385216483924
31,2051293633460636416,17.220458999999998,0.0009833619961707868,,,,2940.6480168966305,809.43418895985,5569.0,56.0,2011AJ....141...89S,"[[5569.0, 0.36, '2011AJ....141...89S']]",1.0,290.27434222609,37.82203627434,1.0,2.4010004504484512,0.08578384312601227,1.5773799373631547
32,2051293667820377344,17.19161,0.0008764601013829297,,,,4016.3204296790004,1361.3756083345195,5043.0,108.0,2011AJ....141...89S,"[[5043.0, 0.44, '2011AJ....141...89S']]",1.0,290.28496425018,37.8356846586,1.0,2.658073209172639,0.11882038756912296,1.1023227433962646
34,2051293835318206208,17.130308,0.0011760639968275285,,,,3803.9065632703705,1279.6145646128002,5592.0,6.0,2011AJ....141...89S,"[[5592.0, 0.36, '2011AJ....141...89S']]",1.0,290.25909519504,37.84824243958,1.0,2.6035079583993803,0.0919165577218118,1.5601127178117622
36,2051294183217063936,17.349268,0.0010267456888791774,,,,4556.78422446465,1728.6608564584603,5702.0,40.0,2011AJ....141...89S,"[[5702.0, 0.33, '2011AJ....141...89S']]",1.0,290.18502079806,37.83412535092,1.0,2.1094787830111588,0.07427001466101132,1.7360969680978189
37,2051294286296280192,17.316976999999998,0.0010623791976861019,,,,2748.72936692548,819.1550406624202,5462.0,95.0,2011AJ....141...89S,"[[5462.0, 0.32, '2011AJ....141...89S']]",1.0,290.15791761819,37.8190145357,1.0,2.2204414801752805,0.08269263314436097,1.5270776262252
38,2051294316354467456,17.910320000000002,0.0015709935148939301,,,,3954.7081678712602,1882.8393464183703,5482.0,74.0,2011AJ....141...89S,"[[5482.0, 0.24, '2011AJ....141...89S']]",1.0,290.13754906316,37.829257655949995,0.9,1.2828236189316111,0.04687477366139589,1.7812233646159117
39,2051294355015399680,17.804577,0.001348807009137731,,,,4618.322519246371,2015.7517952973305,5509.0,87.0,2011AJ....141...89S,"[[5509.0, 0.27, '2011AJ....141...89S']]",1.0,290.14609700951,37.83670798411,1.0,1.4101027355759392,0.05167695055880535,1.7614769686180125
40,2051294419433771136,17.587572,0.0011993494759001124,,,,2899.7113793420503,1069.7488892137706,5627.0,48.0,2011AJ....141...89S,"[[5627.0, 0.19, '2011AJ....141...89S']]",1.0,290.18634654102,37.85476454536,0.9,1.7035744806047568,0.060372207600388375,1.7714080257824634
41,2051294526814152832,17.138834,0.001195966649771831,,,,3387.31778962145,1123.3245355685694,5427.0,43.0,2011AJ....141...89S,"[[5427.0, 0.44, '2011AJ....141...89S']]",1.0,290.21022329848,37.83428072311,1.0,2.6266853654408555,0.09527943408030398,1.4261901613704708
42,2051294659951945216,17.707773,0.0012841736331810592,,,,5899.94650997847,2335.1888431120497,5549.0,89.0,2011AJ....141...89S,"[[5549.0, 0.16, '2011AJ....141...89S']]",1.0,290.23592563847,37.85448250043,0.9,1.5355826734740736,0.055919603784147336,1.7558740449678822
