NGC number spSpec RA DEC RV RV_err Teff Teff_err logg logg_err feh feh_err umag umag_err gmag gmag_err rmag rmag_err imag imag_err zmag zmag_err <S/N> Tag
NGC 6791 2800-54326-424 290.13763   37.82931   -46.4  1.6 5482  74 4.34 0.08 +0.24 0.09 19.743 0.086 18.025 0.017 17.451 0.014 17.283 0.007 17.223 0.020 28.1 D 
NGC 6791 2800-54326-462 290.18642   37.85478   -42.1  1.5 5627  48 4.43 0.11 +0.19 0.08 19.160 0.044 17.610 0.009 17.122 0.010 17.029 0.007 16.999 0.021 33.7 D 
NGC 6791 2800-54326-464 290.27438   37.82203   -43.7  1.2 5569  56 4.21 0.07 +0.36 0.04 18.942 0.039 17.296 0.016 16.749 0.010 16.654 0.014 16.638 0.017 40.6 D 
NGC 6791 2800-54326-465 290.24050   37.81700   -44.9  0.5 4481  70 3.82 0.27 +0.46 0.04 18.283 0.029 15.529 0.012 14.548 0.004 14.218 0.014 14.033 0.008 66.2 D 
NGC 6791 2800-54326-466 290.28500   37.83567   -41.7  1.2 5043 108 4.30 0.11 +0.44 0.02 19.549 0.062 17.443 0.014 16.709 0.011 16.539 0.012 16.455 0.023 40.4 D 
NGC 6791 2800-54326-469 290.23600   37.85450   -47.4  1.4 5549  89 4.38 0.12 +0.16 0.11 19.349 0.047 17.760 0.012 17.217 0.007 17.126 0.009 17.121 0.020 30.9 D 
NGC 6791 2800-54326-471 290.21029   37.83431   -46.3  1.1 5427  43 4.21 0.12 +0.44 0.05 18.860 0.033 17.227 0.010 16.662 0.008 16.551 0.011 16.514 0.014 41.5 D 
NGC 6791 2800-54326-473 290.25912   37.84825   -48.0  1.1 5592   6 4.08 0.09 +0.36 0.04 18.871 0.031 17.240 0.015 16.646 0.007 16.529 0.014 16.513 0.021 41.0 D 
NGC 6791 2800-54326-475 290.19271   37.81957   -43.2  0.5 4503  71 3.74 0.26 +0.45 0.03 18.116 0.027 15.317 0.004 14.348 0.010 14.038 0.010 13.844 0.007 67.9 D 
NGC 6791 2800-54326-476 290.18508   37.83414   -45.3  1.3 5702  40 4.41 0.14 +0.33 0.07 18.942 0.037 17.306 0.005 16.840 0.006 16.727 0.008 16.712 0.012 36.0 D 
NGC 6791 2800-54326-477 290.24383   37.83556   -44.4  0.8 4713 123 4.04 0.09 +0.28 0.00 19.005 0.045 16.586 0.014 15.718 0.006 15.486 0.011 15.364 0.022 54.3 D 
NGC 6791 2800-54326-479 290.16329   37.83461   -46.8  1.6 5513  71 4.46 0.07 +0.31 0.06 19.581 0.054 18.005 0.014 17.433 0.011 17.317 0.010 17.297 0.020 27.9 D 
NGC 6791 2800-54326-480 290.15792   37.81897   -44.4  1.3 5462  95 4.14 0.04 +0.32 0.04 19.096 0.040 17.424 0.007 16.824 0.007 16.646 0.007 16.594 0.013 38.3 D 
NGC 6791 2800-54326-497 290.30292   37.80739   -57.7  1.3 5606  61 4.28 0.07 +0.22 0.07 19.042 0.031 17.517 0.010 16.987 0.010 16.882 0.011 16.865 0.017 35.7 D 
NGC 6791 2821-54393-141 290.29286   37.73219   -46.8  1.0 5617  91 4.61 0.06 +0.21 0.08 19.825 0.083 18.072 0.010 17.535 0.013 17.413 0.012 17.426 0.020 47.2 D 
NGC 6791 2821-54393-142 290.29538   37.78913   -40.9  2.0 5215 133 4.87 0.08 -0.08 0.07 20.729 0.190 18.957 0.012 18.334 0.013 18.146 0.014 18.112 0.036 27.7 D 
NGC 6791 2821-54393-145 290.31488   37.78708   -44.0  1.1 5635  88 4.67 0.09 +0.23 0.08 19.869 0.086 18.099 0.010 17.561 0.009 17.447 0.009 17.420 0.024 45.8 D 
NGC 6791 2821-54393-146 290.28602   37.71747   -43.9  1.3 5524  89 4.59 0.14 +0.38 0.03 20.285 0.119 18.329 0.010 17.783 0.009 17.658 0.012 17.620 0.026 41.0 D 
NGC 6791 2821-54393-149 290.29258   37.75206   -43.2  2.2 5802  76 4.56 0.17 +0.39 0.04 19.260 0.056 17.657 0.011 17.191 0.010 17.071 0.018 17.076 0.019 24.3 D 
NGC 6791 2821-54393-161 290.26746   37.73246   -48.6  0.9 5700  72 4.44 0.08 +0.19 0.06 19.306 0.057 17.635 0.014 17.130 0.011 17.021 0.011 17.026 0.026 61.8 D 
NGC 6791 2821-54393-165 290.16959   37.70742   -48.7  1.5 4911 109 4.72 0.11 +0.10 0.12 21.185 0.299 18.973 0.018 18.322 0.012 18.149 0.013 18.092 0.036 27.4 D 
NGC 6791 2821-54393-166 290.21646   37.79267   -43.8  1.3 5392 104 4.66 0.09 +0.19 0.03 20.728 0.194 18.723 0.017 18.125 0.009 17.960 0.011 17.877 0.031 38.9 D 
NGC 6791 2821-54393-167 290.25304   37.76144   -43.9  1.3 5312  71 4.58 0.09 +0.18 0.09 20.543 0.126 18.574 0.012 17.962 0.013 17.800 0.017 17.832 0.025 39.6 D 
NGC 6791 2821-54393-169 290.23571   37.74950   -43.6  1.2 5246  50 4.66 0.10 +0.21 0.09 20.667 0.153 18.605 0.013 17.982 0.009 17.825 0.013 17.760 0.037 36.8 D 
NGC 6791 2821-54393-172 290.23312   37.77947   -48.5  1.1 5383  61 4.65 0.11 +0.35 0.10 20.074 0.094 18.359 0.013 17.775 0.011 17.659 0.010 17.621 0.028 45.8 D 
NGC 6791 2821-54393-173 290.23404   37.72550   -46.5  1.2 5415  44 4.52 0.07 +0.16 0.09 19.884 0.090 18.208 0.010 17.656 0.013 17.535 0.019 17.525 0.021 39.4 D 
NGC 6791 2821-54393-174 290.27438   37.76821   -47.0  1.2 5495 127 4.69 0.12 +0.23 0.05 20.300 0.124 18.441 0.014 17.885 0.013 17.742 0.012 17.733 0.032 37.1 D 
NGC 6791 2821-54393-176 290.23888   37.79792   -42.4  1.3 5078 146 4.59 0.18 +0.28 0.06 21.092 0.256 19.293 0.017 18.564 0.014 18.384 0.014 18.338 0.045 28.7 D 
NGC 6791 2821-54393-177 290.25525   37.78111   -44.8  1.1 5360   1 4.55 0.05 +0.27 0.01 20.204 0.109 18.520 0.014 17.921 0.010 17.779 0.009 17.751 0.025 39.9 D 
NGC 6791 2821-54393-178 290.27083   37.79364   -47.9  1.2 5279  83 4.63 0.09 +0.26 0.09 20.754 0.160 18.669 0.012 18.040 0.011 17.877 0.015 17.801 0.026 35.4 D 
NGC 6791 2821-54393-179 290.23317   37.69495   -46.4  0.9 5641  60 4.40 0.07 +0.10 0.07 19.190 0.054 17.556 0.014 17.031 0.007 16.913 0.007 16.886 0.026 67.3 D 
NGC 6791 2821-54393-182 290.19167   37.75022   -45.0  1.1 5410  76 4.54 0.13 +0.10 0.06 19.926 0.088 18.170 0.013 17.616 0.007 17.494 0.009 17.465 0.023 47.4 D 
NGC 6791 2821-54393-183 290.16181   37.72236   -48.3  0.9 5499  66 4.36 0.08 +0.16 0.08 19.416 0.058 17.838 0.011 17.333 0.010 17.229 0.009 17.239 0.022 57.6 D 
NGC 6791 2821-54393-184 290.21133   37.69576   -37.0  1.6 5060  84 4.70 0.08 +0.25 0.04 21.085 0.285 19.030 0.017 18.342 0.013 18.176 0.018 18.003 0.032 28.7 D 
NGC 6791 2821-54393-185 290.16196   37.79569   -54.9  1.0 5571   6 4.63 0.09 +0.40 0.03 20.033 0.104 18.345 0.009 17.755 0.011 17.625 0.013 17.561 0.021 42.2 D 
NGC 6791 2821-54393-187 290.18507   37.73330   -49.3  1.0 5583  44 4.50 0.10 +0.19 0.06 19.404 0.052 17.728 0.012 17.240 0.008 17.114 0.007 17.136 0.022 60.4 D 
NGC 6791 2821-54393-188 290.16150   37.74609   -43.1  1.6 4903  57 4.56 0.11 +0.41 0.02 20.780 0.164 19.049 0.016 18.334 0.010 18.160 0.014 18.113 0.030 27.0 D 
