KIC ID|RA Dec
KIC 1873204|292.5137886334246 +37.3078750852217
KIC 1873510|292.5796412975958 +37.3427564208478
KIC 1873898|292.6727426913049 +37.3329874166499
KIC 1873986|292.6936432507583 +37.3464146548978
KIC 1995358|286.0984503996607 +37.4846105901261
KIC 1995522|286.1511771020759 +37.4321990854717
KIC 1995668|286.2004965895029 +37.4437662700169
KIC 1995859|286.2502398036747 +37.4823365327967
KIC 1996078|286.3120689984843 +37.4858799086261
KIC 1996415|286.4137036263329 +37.4273374194233
KIC 1996818|286.5367364174890 +37.4833566845172
KIC 2010137|290.3743233553249 +37.4230246467016
KIC 2010138|290.3743727653175 +37.4404698162778
KIC 2010366|290.4361840910528 +37.4748968845217
KIC 2010702|290.5283324638497 +37.4453500094758
KIC 2010855|290.5647139914521 +37.4532392109269
KIC 2011048|290.610810 +37.400841
KIC 2011314|290.6735684306281 +37.4865374788020
KIC 2011582|290.7432832170302 +37.4819925422562
KIC 2011675|290.7652092936246 +37.4101247544718
KIC 2011827|290.8060624993154 +37.4602613472244
KIC 2011883|290.8220969409813 +37.4430942029719
KIC 2011891|290.8248472866684 +37.4708430628220
KIC 2012065|290.8604264991179 +37.4617472596667
KIC 2012216|290.8947264948989 +37.4610930843318
KIC 2012932|291.0620027029897 +37.4944609874595
KIC 2013502|291.1910242793323 +37.4940442882803
KIC 2013530|291.1993825407258 +37.4873007290257
KIC 2014377|291.4064612337438 +37.4537256809174
KIC 2014684|291.4795639450223 +37.4464385944479
KIC 2015820|291.7399675645896 +37.4676638945667
KIC 2016676|291.9381410089795 +37.4527667425373
KIC 2016706|291.9444981664797 +37.4610359203327
KIC 2016978|291.9885270166493 +37.4219063165052
KIC 2017541|292.1157675971201 +37.4308430728926
KIC 2018007|292.2216134470095 +37.4592418787945
KIC 2018283|292.2874708376297 +37.4463232978133
KIC 2018392|292.3133293878867 +37.4908822367299
KIC 2018537|292.3442818979595 +37.4689310560051
KIC 2018585|292.358611 +37.470646
KIC 2018642|292.3715095157472 +37.4228687267804
KIC 2018667|292.3763919927679 +37.4866524043215
KIC 2019109|292.4698758461365 +37.4634811116114
KIC 2019258|292.5011682913925 +37.4167104545228
KIC 2019396|292.5346825916179 +37.4334755490683
KIC 2019959|292.6537874757200 +37.4861715835894
KIC 2020280|292.7235340736246 +37.4972867399572
KIC 2020383|292.7455654179368 +37.4506667929632
KIC 2020876|292.8393977229836 +37.4426717781199
KIC 2021216|292.9213825468582 +37.4869426687759
KIC 2140446|285.9347288760937 +37.5763603804887
KIC 2140982|286.1179950112114 +37.5602051098873
KIC 2141255|286.2185158858742 +37.5207581743510
KIC 2141413|286.2679903407608 +37.5925161988675
KIC 2141436|286.2727841349956 +37.5729394426767
KIC 2141928|286.4225800166224 +37.5240013989494
KIC 2141932|286.4233301895567 +37.5452986338055
KIC 2142095|286.4777157683058 +37.5848078152965
KIC 2142280|286.5430388585805 +37.5237348297146
KIC 2142405|286.5839390825259 +37.5104784813022
KIC 2142508|286.6207940202832 +37.5477883057368
KIC 2142628|286.6626715376642 +37.5450139591272
KIC 2142675|286.6806664682438 +37.5560588886356
KIC 2155148|290.2724454616453 +37.5453115469674
KIC 2155220|290.2933496152566 +37.5795681859244
KIC 2155506|290.3614369485492 +37.5884945669744
KIC 2155869|290.4477140680417 +37.5159248063060
KIC 2156074|290.4977225540296 +37.5379282641003
KIC 2156155|290.5133289193441 +37.5420451925031
KIC 2156178|290.5192940928291 +37.5254410024648
KIC 2156988|290.7181178109735 +37.5859309506634
KIC 2157059|290.7360256423441 +37.5477055049909
KIC 2157650|290.8643754604501 +37.5749537231083
KIC 2157725|290.8823915315684 +37.5290285697436
KIC 2157928|290.9314385915458 +37.5457533390833
KIC 2157964|290.9398421927129 +37.5688234515453
KIC 2158410|291.0523769026207 +37.5318164558589
KIC 2158815|291.1482641701123 +37.5681011251286
KIC 2159728|291.3463814052959 +37.5689524481054
KIC 2159864|291.3801596117216 +37.5540130048897
KIC 2160161|291.4482126242767 +37.5717771532041
KIC 2160572|291.5332421572954 +37.5927732185772
KIC 2160779|291.5769123854319 +37.5499153120256
KIC 2160901|291.5993681434358 +37.5396537070897
KIC 2160910|291.6003562973666 +37.5731975206143
KIC 2161407|291.6999542025238 +37.5498469552547
KIC 2161409|291.7001980959254 +37.5629837852121
KIC 2161731|291.7702640340307 +37.5705177211990
KIC 2161831|291.7903124428949 +37.5218329238410
KIC 2162486|291.9428405937697 +37.5233538547454
KIC 2163121|292.0802233840940 +37.5677677069062
KIC 2163597|292.1734906397694 +37.5933925302182
KIC 2163605|292.1746297305850 +37.5190705050242
KIC 2163856|292.2269382965960 +37.5574341809463
KIC 2164262|292.3101702057118 +37.5410933827790
KIC 2164327|292.3274239687033 +37.5887704686040
KIC 2164379|292.3364303857183 +37.5708065797687
KIC 2164874|292.4445220464938 +37.5545486558157
KIC 2165198|292.5097804969013 +37.5940993399946
KIC 2165371|292.5485074630609 +37.5997809629317
KIC 2165450|292.5687477331802 +37.5846599350530
KIC 2165589|292.5992428907460 +37.5411982086887
KIC 2165615|292.6046663284242 +37.5124122848498
KIC 2165710|292.6254115561354 +37.5388653897878
KIC 2165894|292.6723474216958 +37.5397198297681
KIC 2166119|292.716060 +37.584820
KIC 2166223|292.7395133526434 +37.5290013425597
KIC 2166393|292.7760115630146 +37.5392069901914
KIC 2166709|292.8412714444549 +37.5457095075390
KIC 2166766|292.8531995305637 +37.5534478335856
KIC 2166769|292.8540093877084 +37.5300943635408
KIC 2167447|293.0003772459298 +37.5951219339113
KIC 2167774|293.0709030968441 +37.5235558407139
KIC 2168184|293.1537892479868 +37.5508857195153
KIC 2282855|285.9360158457883 +37.6485297317000
KIC 2283075|286.0180898398850 +37.6323925713094
KIC 2283093|286.0251671452971 +37.6645198580708
KIC 2283435|286.1360181591153 +37.6496638929831
KIC 2283532|286.1674519875751 +37.6725297870107
KIC 2283721|286.2241803968794 +37.6897178056218
KIC 2284278|286.3988198085783 +37.6425237368907
KIC 2284330|286.4160178051999 +37.6305588191043
KIC 2284679|286.5306807468343 +37.6694386349047
KIC 2285551|286.8195670620306 +37.6686324073670
KIC 2285776|286.8992741962310 +37.6696497052208
KIC 2285827|286.9166845459011 +37.6792650209460
KIC 2285898|286.9371424867215 +37.6959940972598
KIC 2285941|286.9532405802266 +37.6819451292480
KIC 2297384|290.1898799637126 +37.6641373780661
