KIC ID|RA Dec
KIC 4664909|294.5044606266688 +39.7451995887172
KIC 4665104|294.5496774329641 +39.7535755768150
KIC 4667338|295.0697153084972 +39.7122381988722
KIC 4667399|295.0814022326158 +39.7366642663966
KIC 4667561|295.1174929540835 +39.7324893290351
KIC 4667909|295.1981331955892 +39.7027747654590
KIC 4667911|295.1984909728384 +39.7104027947142
KIC 4668478|295.3353279851887 +39.7432551358930
KIC 4669118|295.4725701889041 +39.7915394259160
KIC 4669214|295.4929257508043 +39.7676672460428
KIC 4669400|295.5328732389172 +39.7991636020622
KIC 4670253|295.7133292942179 +39.7345542922962
KIC 4671204|295.9125519708648 +39.7756015719281
KIC 4671239|295.9207678170359 +39.7124342188228
KIC 4671329|295.9382655764315 +39.7885797216272
KIC 4671738|296.0319781295866 +39.7528433184732
KIC 4671957|296.0729670849100 +39.7055998636044
KIC 4672129|296.1048354235105 +39.7284477002267
KIC 4672583|296.1970981973560 +39.7054436808578
KIC 4672904|296.2616164077888 +39.7069800695288
KIC 4673368|296.3554637259309 +39.7577906298031
KIC 4673612|296.400940 +39.750938
KIC 4673723|296.4210957550846 +39.7007997210845
KIC 4678118|297.2708159535588 +39.7170209490551
KIC 4678610|297.3714329430070 +39.7348271408860
KIC 4680242|297.6864077600412 +39.7833770177556
KIC 4680467|297.7239332805323 +39.7305464032747
KIC 4680570|297.7403193891420 +39.7489199337214
KIC 4680912|297.803680 +39.736500
KIC 4681356|297.8970320910959 +39.7096842885453
KIC 4682420|298.0937297728445 +39.7937192174785
KIC 4725874|283.9584946505513 +39.8483168702164
KIC 4726049|284.0354305109587 +39.8753194007866
KIC 4726251|284.1335110301253 +39.8306387089295
KIC 4726675|284.3299368064454 +39.8723124369361
KIC 4726902|284.4283010815855 +39.8327823003904
KIC 4727024|284.4947581325571 +39.8727707151333
KIC 4727044|284.5054343592017 +39.8093140257844
KIC 4729563|285.7318739565313 +39.8665701511589
KIC 4729586|285.7433010614221 +39.8655451377995
KIC 4729920|285.8895115776195 +39.8335865245322
KIC 4729986|285.9192182996200 +39.8156870112070
KIC 4730648|286.1991889299193 +39.8601738844357
KIC 4731118|286.4089712598122 +39.8631161626609
KIC 4731125|286.4122454844234 +39.8655378089617
KIC 4731138|286.4183337760720 +39.8763438485267
KIC 4731934|286.7906102692042 +39.8444548632567
KIC 4732137|286.8832576811445 +39.8166853408124
KIC 4735830|288.3964731419037 +39.8644284729647
KIC 4735859|288.4081911457248 +39.8879550193686
KIC 4736439|288.6195525222254 +39.8569494809796
KIC 4736470|288.6282406937450 +39.8463139991836
KIC 4736564|288.6668912764405 +39.8512983681233
KIC 4736611|288.6826510370267 +39.8817926573710
KIC 4737442|288.9769740902170 +39.8615165192621
KIC 4737850|289.0970520067508 +39.8867809715606
KIC 4737942|289.1197150340906 +39.8280791589683
KIC 4738030|289.1484417744762 +39.8666700024522
KIC 4738255|289.2156333179815 +39.8049072416255
KIC 4738308|289.2354968572021 +39.8580882782231
KIC 4738539|289.3133974259519 +39.8878461241166
KIC 4738610|289.3350158343845 +39.8582128483197
KIC 4738693|289.3615018652388 +39.8546868167339
KIC 4738749|289.3814584143233 +39.8832537909672
KIC 4738764|289.3888286877655 +39.8787443250229
KIC 4738932|289.4413023510171 +39.8847936902461
KIC 4739016|289.4645877747108 +39.8374911248488
KIC 4739284|289.5525548321399 +39.8368601407756
KIC 4739638|289.6639150909155 +39.8046120605836
KIC 4739728|289.6902564785310 +39.8683389420815
KIC 4740400|289.883880 +39.840919
KIC 4740486|289.9106035242613 +39.8070211206294
KIC 4741000|290.0529291897725 +39.8762951996742
KIC 4741003|290.0546752396458 +39.8683401769506
KIC 4741085|290.0771933091279 +39.8933237703928
KIC 4741317|290.1463948742726 +39.8523273582830
KIC 4741688|290.2478472805808 +39.8136301007019
KIC 4741931|290.3108058452810 +39.8403343896114
KIC 4742301|290.4195590769389 +39.8533738110868
KIC 4742356|290.4335664939671 +39.8604266881871
KIC 4742471|290.4676752378342 +39.8826459491328
KIC 4742915|290.6090933499958 +39.8795001141578
KIC 4743066|290.6661258317579 +39.8662062661414
KIC 4743386|290.7801136515633 +39.8515068433778
KIC 4743924|290.9413784077001 +39.8659227548363
KIC 4743972|290.9576323917171 +39.8998014647908
KIC 4749874|292.7412888248064 +39.8756179934745
KIC 4750410|292.8923421515470 +39.8420074020556
KIC 4750456|292.9057268078162 +39.8896504415361
KIC 4750605|292.9467346223459 +39.8881243797364
KIC 4750765|292.993710 +39.871078
KIC 4750821|293.0147349610010 +39.8575176698067
KIC 4750825|293.0153900846028 +39.8995628344465
KIC 4750962|293.0553362573600 +39.8400603583022
KIC 4751763|293.2636028031050 +39.8672927111081
KIC 4751953|293.3222382372117 +39.8054112302157
KIC 4752106|293.3615182981196 +39.8673313662797
KIC 4753224|293.6528433013032 +39.8678950860513
KIC 4753388|293.6923616787250 +39.8590359852858
KIC 4753416|293.7002546456445 +39.8207530749656
KIC 4753723|293.7784729354491 +39.8202260366547
KIC 4754348|293.9318266223391 +39.8361664426052
KIC 4754881|294.0700279974528 +39.8457297234639
KIC 4754913|294.0774904497600 +39.8746748287497
KIC 4755118|294.1268891036998 +39.8605834998416
KIC 4755272|294.1668019445480 +39.8179949595919
KIC 4755295|294.1726358360936 +39.8296883506141
KIC 4755372|294.1897223473508 +39.8710331403773
KIC 4755467|294.2155766044141 +39.8318016245355
KIC 4755528|294.2330047102688 +39.8609299943244
KIC 4755560|294.2429568303559 +39.8883701145437
KIC 4755586|294.2499956505355 +39.8374292347867
KIC 4755614|294.2582128679661 +39.8692339662411
KIC 4755968|294.3428246605914 +39.8068704592286
KIC 4756133|294.3831418959551 +39.8449440190752
KIC 4756219|294.4051101463488 +39.8021783998890
KIC 4756445|294.4660341184328 +39.8294631219111
KIC 4756600|294.5038513795713 +39.8884841320200
KIC 4756681|294.5246575486190 +39.8826433485823
KIC 4756746|294.5410815042208 +39.8579705227137
KIC 4756934|294.5912784202654 +39.8305871648692
KIC 4757071|294.6247862680469 +39.8670810481049
KIC 4757192|294.6558378312712 +39.8955891292301
KIC 4757271|294.6747916516567 +39.8735679406991
KIC 4757638|294.7535481439194 +39.8686424839983
KIC 4758008|294.8466349964203 +39.8286953194778
KIC 4758020|294.8493887631302 +39.8772095440780
KIC 4758200|294.8938362455185 +39.8025339592893
KIC 4758217|294.8984812317458 +39.8800445228225
KIC 4758222|294.9001058654223 +39.8862216805397
KIC 4758269|294.9129248333217 +39.8443282362997
KIC 4758467|294.9625123963857 +39.8616339773459
KIC 4758603|294.9965454173516 +39.8928493400480
KIC 4759104|295.1078503080738 +39.8793847756444
KIC 4760345|295.4014399574986 +39.8472138292941
KIC 4760427|295.4190525030113 +39.8483576255343
KIC 4760564|295.4452259175554 +39.8650458794143
KIC 4760954|295.5246149415337 +39.8832978856714
KIC 4761015|295.5379476201726 +39.8057284815130
KIC 4761037|295.5420058621835 +39.8989170688057
KIC 4761301|295.5993598415328 +39.8833533735934
KIC 4761571|295.6535304993348 +39.8166231536955
KIC 4762423|295.8194929457658 +39.8053537100552
KIC 4762459|295.8256833440715 +39.8903043076395
KIC 4762516|295.8386160068081 +39.8311799068263
KIC 4763063|295.9471583076030 +39.8855460831019
KIC 4763296|295.9904423919834 +39.8777625392291
KIC 4763631|296.0563728399512 +39.8076149068248
KIC 4764420|296.2151689959817 +39.8232854488149
KIC 4764422|296.2155079214795 +39.8480163825451
KIC 4764559|296.2431925950090 +39.8066495575929
KIC 4768054|296.9580627933272 +39.8782824967517
KIC 4769765|297.309660 +39.886429
KIC 4770149|297.3882028076342 +39.8869862130125
KIC 4770846|297.5190992652516 +39.8726609479077
KIC 4771707|297.6879816463340 +39.8712342489250
KIC 4771876|297.719790 +39.864609
KIC 4772722|297.8920871184120 +39.8711837701327
KIC 4772940|297.9361389556538 +39.8960147824636
KIC 4772988|297.9457238503229 +39.8137943947339
KIC 4773539|298.0662915489564 +39.8535327156114
KIC 4774298|298.2108448768366 +39.8208358281875
KIC 4774429|298.2348602204928 +39.8178568807037
KIC 4813529|283.5920663981149 +39.9803578724644
KIC 4813971|283.7813538535797 +39.9913995852065
KIC 4814187|283.8731172017610 +39.9721554536397
KIC 4814198|283.8789208494250 +39.9393158971779
KIC 4814689|284.0854863946873 +39.9647876155566
KIC 4814709|284.098790 +39.934681
KIC 4814724|284.1058222588446 +39.9831385103451
KIC 4815077|284.2771567904104 +39.9649965010278
KIC 4815573|284.5011417167195 +39.9191819120129
KIC 4816074|284.7349278900580 +39.9715740634483
KIC 4818202|285.7822182709150 +39.9302065656411
KIC 4818312|285.8364518613244 +39.9791025936534
KIC 4818420|285.8812859244955 +39.9939496139096
KIC 4818593|285.9524816692496 +39.9657794329285
KIC 4818619|285.9629665958167 +39.9089702419006
KIC 4818637|285.9713178734417 +39.9846134064389
KIC 4818830|286.0521943547160 +39.9943114681763
KIC 4820412|286.7157916733654 +39.9190675378101
KIC 4821448|287.1658185324953 +39.9938936559727
KIC 4821839|287.3385373596218 +39.9670895466493
KIC 4821901|287.361252 +39.986126
KIC 4824985|288.5396333898730 +39.9568349345767
KIC 4825063|288.5673079618380 +39.9653891451353
KIC 4825828|288.8349444147283 +39.9847618091556
KIC 4825996|288.8834438601649 +39.9010865419142
KIC 4826087|288.9172183661299 +39.9642843813291
KIC 4826188|288.9559848214067 +39.9656403562418
KIC 4826423|289.0251777169879 +39.9935750323415
KIC 4826569|289.0656884005314 +39.9393138200157
KIC 4826817|289.1399285559000 +39.9720227535397
KIC 4826855|289.1510332979507 +39.9841241006389
KIC 4827430|289.3253897304190 +39.9600773844792
KIC 4827618|289.3847363822600 +39.9213808559324
KIC 4827950|289.4840253974100 +39.9428860882419
KIC 4828553|289.6667145378947 +39.9894513943695
KIC 4828670|289.6976129711677 +39.9160857636801
KIC 4828864|289.7550490372746 +39.9816574436758
KIC 4829066|289.8126412929725 +39.9938823189578
KIC 4829108|289.8265283775338 +39.9849381328527
KIC 4829243|289.8658636629488 +39.9527802122847
KIC 4829511|289.9431339203532 +39.9035420006756
KIC 4829525|289.9465334843908 +39.9191015789276
KIC 4829636|289.9738115709658 +39.9718635453644
KIC 4829682|289.9889963460041 +39.9213897178859
KIC 4829900|290.0528776319148 +39.9256467560118
KIC 4829985|290.0758137675780 +39.9268877747862
KIC 4830095|290.1076869804487 +39.9658342192758
KIC 4830268|290.1547091576691 +39.9549231106657
KIC 4830765|290.2834591161284 +39.9849071805308
KIC 4830861|290.3119867161310 +39.9953059625805
KIC 4830875|290.3157622413788 +39.9173423533681
KIC 4830883|290.3179561504708 +39.9856231081877
KIC 4830896|290.3228938813038 +39.9980094007003
KIC 4831169|290.4070886560828 +39.9891285564196
KIC 4831614|290.5354953649950 +39.9230475168392
KIC 4831826|290.6092385069300 +39.9519341091154
KIC 4831859|290.6190741582743 +39.9911991541388
KIC 4831888|290.6324355874247 +39.9856877503135
KIC 4831949|290.6510602334326 +39.9640451543226
KIC 4831973|290.6569107563208 +39.9997656403989
KIC 4832196|290.7380096713997 +39.9634939659825
KIC 4832376|290.7912612766828 +39.9376733034609
KIC 4832708|290.8895488496352 +39.9922239199956
KIC 4832773|290.9088317 +39.9313897
KIC 4833377|291.0952069455274 +39.9738072691230
KIC 4833419|291.1112056281888 +39.9911739446344
KIC 4833545|291.1506185806730 +39.9505982515820
KIC 4833670|291.1893602433537 +39.9919060460693
KIC 4838752|292.7064960057254 +39.9904149117994
KIC 4838815|292.7255044838096 +39.9611766895503
KIC 4838818|292.7263385949691 +39.9327639283999
KIC 4839065|292.8015183992787 +39.9322971738608
KIC 4839278|292.8619538349168 +39.9598542118128
KIC 4839525|292.9250627986963 +39.9422620981164
KIC 4839776|292.9954038817174 +39.9363928875879
KIC 4840514|293.1953096522564 +39.9879505938570
KIC 4840662|293.2371599958208 +39.9622862371361
KIC 4840774|293.2696750442827 +39.9749287323799
KIC 4840815|293.2794827049098 +39.9654793036150
KIC 4841005|293.3334609878692 +39.9233328292644
KIC 4841140|293.3673292010722 +39.9161404463658
KIC 4842192|293.6599205615652 +39.9371920650279
KIC 4842225|293.6687534222491 +39.9989390451258
KIC 4842346|293.7016635831733 +39.9971950869628
KIC 4842356|293.7058708298655 +39.9424625433219
KIC 4842689|293.7915284395825 +39.9410785817086
KIC 4842814|293.822390 +39.961761
KIC 4842823|293.8247766632375 +39.9926695107786
KIC 4842850|293.8324574692598 +39.9975017064734
KIC 4842860|293.8342370994964 +39.9535207364393
KIC 4843143|293.9074200446067 +39.9257220660366
KIC 4843612|294.0287098000696 +39.9883855940492
KIC 4843980|294.1273560353862 +39.9245589674222
KIC 4844415|294.2350283619213 +39.9278267991389
KIC 4844527|294.2665662845491 +39.9036623520430
KIC 4844589|294.2827415785389 +39.9620392796833
KIC 4844622|294.2908907140638 +39.9109116837353
KIC 4844727|294.3145592383405 +39.9165391495996
KIC 4844801|294.3317430941542 +39.9079162645542
KIC 4845081|294.4081160938306 +39.9843767015660
KIC 4845272|294.4615959458056 +39.9739456604980
KIC 4845604|294.5462855438958 +39.9323460056439
KIC 4845694|294.5683337485093 +39.9586226204996
KIC 4845808|294.5928533168629 +39.9197228680553
KIC 4846051|294.6500568933225 +39.9240886474236
KIC 4846064|294.653470 +39.944229
KIC 4846409|294.7288066373206 +39.9686911433735
KIC 4846743|294.8131277023379 +39.9910729149116
KIC 4847171|294.9132679314967 +39.9927047971281
KIC 4847241|294.9282592832458 +39.9309290711363
KIC 4847270|294.9320954124856 +39.9228044976182
KIC 4847280|294.9334557664096 +39.9103030006493
KIC 4847291|294.9377592621956 +39.9067843029668
KIC 4847475|294.9879551217915 +39.9087593645433
KIC 4847891|295.0887437117650 +39.9254631803624
KIC 4848095|295.1373195596050 +39.9480481194456
KIC 4849836|295.5332474996819 +39.9133683730526
KIC 4850315|295.6392104082311 +39.9688943807837
KIC 4850368|295.6510850137277 +39.9530244022983
KIC 4850665|295.7163071717947 +39.9325831640965
KIC 4850790|295.7428391928908 +39.9431460677624
KIC 4851519|295.9004537297078 +39.9571661767313
KIC 4851618|295.918580 +39.950508
KIC 4851832|295.9637422502817 +39.9520203323967
KIC 4851882|295.9736832901642 +39.9386225573646
KIC 4851908|295.9789495318191 +39.9504202396925
KIC 4851948|295.9888068350626 +39.9014793319254
KIC 4852302|296.0673864544854 +39.9669758634631
KIC 4852408|296.0885209604716 +39.9315913580667
KIC 4852480|296.1018202893106 +39.9294912940032
KIC 4852709|296.1507224933469 +39.9494137404230
KIC 4856592|296.9353925623232 +39.9249228147282
KIC 4856867|296.9976548446055 +39.9780099751378
KIC 4857279|297.0890591720082 +39.9667608412330
KIC 4857853|297.2274337609583 +39.9615513969603
KIC 4858284|297.3141072222028 +39.9183435143997
KIC 4858315|297.3202893018711 +39.9128162370105
KIC 4860292|297.7250519858434 +39.9545678177242
KIC 4860339|297.7359389197022 +39.9211414983890
KIC 4862332|298.1612945188097 +39.9009709231018
KIC 4862353|298.1659251824518 +39.9350392944980
KIC 4863282|298.3533790498856 +39.9333664623201
KIC 4863352|298.3788962258892 +39.9875444958487
KIC 4863670|298.4569066747912 +39.9133647015664
KIC 4901967|283.5816424366383 +40.0469374844631
KIC 4902442|283.8059633793981 +40.0044597373181
KIC 4902641|283.8845576957497 +40.0245821820610
KIC 4902701|283.9097551196296 +40.0160339369926
KIC 4903283|284.2022283913682 +40.0572669619009
KIC 4903497|284.3065171260247 +40.0621343905975
KIC 4903839|284.4641721638839 +40.0041010913917
KIC 4903961|284.5218093632079 +40.0695046031438
KIC 4904086|284.5812519734752 +40.0201752231771
KIC 4904166|284.6151732712458 +40.0112302951927
KIC 4904621|284.8521374865061 +40.0360525496323
KIC 4904856|284.9553680195000 +40.0811026526333
KIC 4906950|285.9681610684654 +40.0668403436920
KIC 4907194|286.0820192869186 +40.0209182585622
KIC 4907439|286.1845320620286 +40.0990711341952
KIC 4907665|286.2795951404740 +40.0101897938296
KIC 4907832|286.3559961619189 +40.0232555983939
KIC 4907876|286.3724668139761 +40.0190815404144
KIC 4907963|286.4065822487137 +40.0820008426358
KIC 4908025|286.4356525851150 +40.0671230685321
KIC 4908318|286.5720238341002 +40.0430885718160
KIC 4908844|286.8281303677762 +40.0391094899042
KIC 4909449|287.0963022718073 +40.0985747473332
KIC 4912124|288.1487987920822 +40.0109994209617
KIC 4912219|288.1828918208641 +40.0976030438644
KIC 4912702|288.3600259769971 +40.0775872950952
KIC 4912918|288.4448633321836 +40.0251591903301
KIC 4913049|288.4979381532855 +40.0864722139036
KIC 4913771|288.7828942082761 +40.0348678225373
KIC 4914234|288.9360353812364 +40.0443636307291
KIC 4914258|288.9422236504109 +40.0863174372383
KIC 4914456|288.9971520042400 +40.0810568432927
KIC 4914533|289.0216264406074 +40.0742396751113
KIC 4915387|289.2873492451076 +40.0095867081187
KIC 4915716|289.4019202272423 +40.0646023808543
KIC 4915774|289.4140004726655 +40.0227251998809
KIC 4915934|289.4634838383111 +40.0068007189475
KIC 4916620|289.6678439439910 +40.0523939597862
KIC 4916832|289.7246693432954 +40.0872456970920
KIC 4917014|289.7692410524988 +40.0210907701277
KIC 4918216|290.1076234565317 +40.0886277646100
KIC 4918371|290.1389684177231 +40.0654474939907
KIC 4918386|290.142030 +40.016331
KIC 4918748|290.2455248471107 +40.0805387158454
KIC 4918924|290.2895530801450 +40.0350586849972
KIC 4918925|290.2897216456466 +40.0222865415467
KIC 4918972|290.3028231292625 +40.0492598723194
KIC 4918998|290.3114755498242 +40.0870140130786
KIC 4919067|290.3311319772635 +40.0352644447069
KIC 4919193|290.363250 +40.095242
KIC 4919205|290.3656744788946 +40.0580993413158
KIC 4919239|290.3764429240459 +40.0661762494947
KIC 4919495|290.4536003177644 +40.0017469726931
KIC 4919693|290.5080727703469 +40.0952067268909
KIC 4919991|290.6035332880692 +40.0959590274267
KIC 4920044|290.6200760142853 +40.0634159786692
KIC 4920423|290.7431162988897 +40.0982007723656
KIC 4920489|290.7624977836462 +40.0055395213828
KIC 4920497|290.7655936205638 +40.0365337426956
KIC 4920600|290.7897724506968 +40.0474658841886
KIC 4920981|290.9087036052238 +40.0539509490944
KIC 4920997|290.9136264983926 +40.0607301448277
KIC 4921047|290.9265293357283 +40.0191588780260
KIC 4921373|291.0433932268111 +40.0358693115567
KIC 4921436|291.0613830646881 +40.0065385762950
KIC 4921508|291.0853797501773 +40.0177651289438
KIC 4921676|291.1326833078746 +40.0336132707029
KIC 4921688|291.1376893000453 +40.0753373748617
KIC 4921789|291.1658048963592 +40.0044742612283
KIC 4921822|291.1768571658345 +40.0317024535269
KIC 4921872|291.192470 +40.035091
KIC 4922182|291.2873460607249 +40.0330790088068
KIC 4922201|291.2913720737937 +40.0642241013054
KIC 4922510|291.3813779577271 +40.0968363173016
KIC 4926689|292.6137626794034 +40.0242468381330
KIC 4926778|292.6373053627513 +40.0251108087689
KIC 4926847|292.6571875821101 +40.0368793869923
KIC 4927098|292.7321922712514 +40.0223568164611
KIC 4927101|292.7332149553615 +40.0690982070017
KIC 4927290|292.7853655654012 +40.0084174479019
KIC 4927426|292.8258381141854 +40.0100490882897
KIC 4927604|292.8803541914613 +40.0999205087414
KIC 4927724|292.9138178342654 +40.0545121907472
KIC 4927763|292.9272979637379 +40.0167069777958
KIC 4928515|293.1383008312325 +40.0882499840556
KIC 4928826|293.2252718346155 +40.0679380974606
KIC 4928958|293.2619975940548 +40.0911824428608
KIC 4929301|293.3517894321004 +40.0637504074842
KIC 4929543|293.4187847337413 +40.0239219484325
KIC 4929662|293.4524103488104 +40.0586855143231
KIC 4929697|293.4642400868206 +40.0222275570679
KIC 4930018|293.5442542920631 +40.0247770846540
KIC 4930269|293.6112178467035 +40.0937638665368
KIC 4930464|293.6639847895787 +40.0773699994069
KIC 4930617|293.7111980665455 +40.0699012065232
KIC 4930906|293.7881642085973 +40.0802486980443
KIC 4931091|293.8336387000600 +40.0447680115258
KIC 4931322|293.893340 +40.026718
KIC 4931357|293.9008817299329 +40.0351869791450
KIC 4931389|293.9080977263098 +40.0785522683789
KIC 4931454|293.9264156651138 +40.0643470730772
KIC 4931949|294.0523377478075 +40.0925743846860
KIC 4932311|294.1390587248640 +40.0783345164416
KIC 4932498|294.1870250397450 +40.0112048042929
KIC 4932704|294.2445332690577 +40.0858883238154
KIC 4932872|294.2880053508607 +40.0802480464008
KIC 4933198|294.3688202613442 +40.0496223309138
KIC 4933305|294.3984556759754 +40.0372392366400
KIC 4933594|294.4750090045146 +40.0360624263213
KIC 4933798|294.5300951124657 +40.0283148808027
KIC 4934133|294.6207222254081 +40.0153884842248
KIC 4934147|294.6258558295911 +40.0102942820266
KIC 4934393|294.6822217301951 +40.0352994326786
KIC 4934550|294.7189123138984 +40.0178457786748
KIC 4935264|294.8881857448050 +40.0889171221691
KIC 4936335|295.1487271461497 +40.0843919075063
KIC 4936438|295.1776376888312 +40.0511714136710
KIC 4936463|295.1846654447898 +40.0889479379092
KIC 4936825|295.2690931753268 +40.0807796126317
KIC 4937011|295.3069557437293 +40.0606100582787
KIC 4937056|295.3179834847513 +40.0974687366127
KIC 4937204|295.3526514164217 +40.0554511001814
KIC 4937257|295.3637686248419 +40.0818841817201
KIC 4937576|295.4344673783547 +40.0979594509839
KIC 4937770|295.4766003267446 +40.0360190339533
KIC 4937784|295.4807791507349 +40.0763134189281
KIC 4939830|295.9082999394531 +40.0635885334316
KIC 4939895|295.9230330241855 +40.0156711533571
KIC 4940041|295.9513318227967 +40.0672924528750
KIC 4940376|296.0185084730625 +40.0871418554819
KIC 4940414|296.0278297911754 +40.0902334449694
KIC 4940439|296.0335897130739 +40.0087631982906
KIC 4940536|296.0563719681511 +40.0413223125815
KIC 4940640|296.076840 +40.000713
KIC 4940648|296.0792634092173 +40.0048826755128
KIC 4940916|296.1362752074299 +40.0662881996395
KIC 4940935|296.1401255000998 +40.0492856815381
KIC 4945337|297.0543631555838 +40.0469935702408
KIC 4946220|297.2790387614424 +40.0515093661793
KIC 4946445|297.3322481343925 +40.0654422711087
KIC 4946632|297.3704214890760 +40.0289748459989
KIC 4948344|297.7440679627769 +40.0023671498131
KIC 4948402|297.7580888993739 +40.0607035873341
KIC 4948479|297.7741359713006 +40.0750205199934
KIC 4948756|297.8287255298925 +40.0535146717222
KIC 4949036|297.8891765556571 +40.0931410000081
KIC 4949374|297.9681278671617 +40.0249552400211
KIC 4949422|297.9790510927213 +40.0247193872736
KIC 4949473|297.9910306322225 +40.0762206346967
KIC 4950323|298.1610430224048 +40.0160624474656
KIC 4950750|298.2501349470193 +40.0079766698600
KIC 4951617|298.4266978242375 +40.0677900440439
KIC 4951670|298.4358594928712 +40.0608938279531
KIC 4952454|298.6070337287744 +40.0495149705346
KIC 4952516|298.6186852174471 +40.0266079423844
KIC 4953192|298.7473098124158 +40.0877644824595
KIC 4953262|298.7604130813579 +40.0527672625769
KIC 4989477|283.6782969554151 +40.1682339707350
KIC 4989752|283.8142176669489 +40.1273231776410
KIC 4989775|283.8215617635247 +40.1228571369482
KIC 4990126|283.9536164213729 +40.1006298660670
KIC 4990198|283.9838957412761 +40.1640635545006
KIC 4991033|284.3766295964476 +40.1873463614466
KIC 4991425|284.5596334284618 +40.1886148155983
KIC 4991732|284.7005360403482 +40.1932565483648
KIC 4995036|286.2689214618870 +40.1696100130092
KIC 4995064|286.2791112573937 +40.1260738826858
KIC 4995218|286.3383622743739 +40.1125169491444
KIC 4995788|286.5752395277065 +40.1341015096703
KIC 4995956|286.6512291520493 +40.1555825888673
KIC 4996395|286.8317588196970 +40.1083846321858
KIC 4996676|286.9709314276125 +40.1751365024050
KIC 4997023|287.1396280363603 +40.1894279694748
KIC 4999134|287.9638187908650 +40.1912006665683
KIC 5000089|288.3239340151741 +40.1220506487737
KIC 5000307|288.4129889674230 +40.1846354753030
KIC 5000484|288.4882837326421 +40.1741965646400
KIC 5000737|288.5644098153238 +40.1281436150650
KIC 5000850|288.6015208188411 +40.1197317841334
KIC 5001658|288.8829406436536 +40.1039116111778
KIC 5002597|289.1905095508783 +40.1142992180561
KIC 5002732|289.2350996503749 +40.1421500026686
KIC 5002776|289.2494027564836 +40.1632591588046
KIC 5003275|289.4149552184625 +40.1132876476194
KIC 5003442|289.4674209094884 +40.1482272601484
KIC 5003549|289.5047718619511 +40.1206416269292
KIC 5003625|289.5292834830458 +40.1781610929689
KIC 5004232|289.7239279038925 +40.1002378307237
KIC 5004282|289.7396550469709 +40.1446572878442
KIC 5004497|289.7944755824075 +40.1685913408100
KIC 5005119|289.9790041365189 +40.1501425928139
KIC 5005173|289.9938059541825 +40.1017348521695
KIC 5005217|290.0077136255799 +40.1058225541432
KIC 5005243|290.0151108157702 +40.1843226366077
KIC 5005508|290.0953814393103 +40.1613038254595
KIC 5006206|290.2856876808766 +40.1856860855020
KIC 5006270|290.3036417885869 +40.1558832731290
KIC 5006454|290.3527097354778 +40.1670204125046
KIC 5006817|290.4559679574779 +40.1457325840988
KIC 5007078|290.5375202967450 +40.1620102459022
KIC 5007315|290.6193151386767 +40.1326632424244
KIC 5007332|290.6273032069822 +40.1116910567639
KIC 5007366|290.6403531204583 +40.1225406060139
KIC 5007617|290.7272737460521 +40.1312530724628
KIC 5007645|290.7379096987086 +40.1467549032159
KIC 5007812|290.7864852554800 +40.1610084591525
KIC 5007954|290.8332687739175 +40.1926687781683
KIC 5008066|290.8712160775379 +40.1786889804911
KIC 5008558|291.0370546204941 +40.1241257936483
KIC 5008589|291.0462541572117 +40.1540422319014
KIC 5008699|291.0814228245733 +40.1892938567683
KIC 5008936|291.1555614118454 +40.1546765017981
KIC 5008996|291.1745610292323 +40.1280473300912
KIC 5009082|291.2017573734642 +40.1017777905894
KIC 5009376|291.2938267439025 +40.1140770058828
KIC 5009393|291.2998929620915 +40.1320758937509
KIC 5010165|291.5298963598066 +40.1809763622650
KIC 5010362|291.5859033666113 +40.1648354887950
KIC 5015825|293.179050 +40.183998
KIC 5016048|293.2448904506742 +40.1467255233608
KIC 5016065|293.2502194426245 +40.1702127516636
KIC 5016089|293.2579152762559 +40.1591685054233
KIC 5016212|293.2934522390152 +40.1968057079115
KIC 5016519|293.3811590929659 +40.1072808268603
KIC 5016549|293.3881510897631 +40.1751703068067
KIC 5016991|293.5112848834835 +40.1303968443062
KIC 5017711|293.7069183607977 +40.1677274391855
KIC 5017766|293.7231599940962 +40.1582809495435
KIC 5017773|293.7243282101274 +40.1830042604673
KIC 5017812|293.7353065800862 +40.1828579532575
KIC 5018155|293.8242649894665 +40.1541794463764
KIC 5018277|293.8575613061950 +40.1520485835731
KIC 5018337|293.8733076263530 +40.1450519807220
KIC 5018369|293.8817171798538 +40.1853164990536
KIC 5018570|293.9317337791960 +40.1017231844207
KIC 5018689|293.9613406601741 +40.1263703961592
KIC 5019216|294.097080 +40.159679
KIC 5019587|294.1899771268234 +40.1046180285205
KIC 5019940|294.2821614578417 +40.1651046275479
KIC 5020346|294.3817850268136 +40.1934000842096
KIC 5021128|294.5759762974049 +40.1267811764849
KIC 5021395|294.6458186514884 +40.1842217169827
KIC 5021425|294.6544175240352 +40.1957530938222
KIC 5021447|294.6594065410721 +40.1536064219181
KIC 5021453|294.6616676536177 +40.1053228627176
KIC 5021630|294.7051642638294 +40.1475133234071
KIC 5022233|294.8583149820728 +40.1394672451105
KIC 5022330|294.8799883979144 +40.1160053790779
KIC 5022541|294.9234325561133 +40.1998687530325
KIC 5022571|294.9296534159793 +40.1851820208440
KIC 5022741|294.9711725442267 +40.1562836306686
KIC 5023379|295.1201365826381 +40.1715872698609
KIC 5023732|295.2001495996848 +40.1356835324176
KIC 5023845|295.2230871953252 +40.1673308601828
KIC 5023889|295.2316646139418 +40.1081202128445
KIC 5023931|295.2376776985490 +40.1685596304437
KIC 5023953|295.2415268907327 +40.1381797849244
