ID,OC,mass_est,mass_low_err,mass_high_err,age_est,age_low_err,age_high_err,feh_est,feh_low_err,feh_high_err,Y_est,Y_low_err,Y_high_err,MLT_est,MLT_low_err,MLT_high_err,true_L_est,true_L_low_err,true_L_high_err,true_Teff_est,true_Teff_low_err,true_Teff_high_err
2076299826420539648,NGC 6819,1.4678750499768705,0.07928581157003123,0.08711445839796506,2.2694567067476896,0.07562860994873333,0.09769722581909734,0.18499628890785247,0.11760907872634023,0.149003054887913,0.3016542740184083,0.014331963300799722,0.014753095734558519,1.788376184672405,0.08039338431058862,0.25280103804283716,9.082519026341185,0.24400741638794443,0.2423838323995149,6214.468489107116,32.32569090877314,32.33127405200503
2076299826420588416,NGC 6819,1.6964400065934195,0.005459597227090329,0.002578816188006261,1.8698567080798045,0.06131696003161924,0.06580858232064957,0.4195133195099928,0.07520496885672168,0.057934017553256556,0.2922034164544842,0.01605272347513087,0.009557462216232049,1.788376184672405,0.08039338431058862,0.25280103804283716,7.8744793455637865,0.20817516621115217,0.19896312242208047,6071.219667274887,31.54386464464551,51.47853973645124
2076299860780302464,NGC 6819,1.404251643343017,0.041054567578208356,0.07512946672758725,1.9042790748517302,0.1719053406521549,0.16877953129674483,0.019750691749896146,0.07026373239715505,0.10390687491286524,0.2956933591218374,0.015215551513370118,0.014493798386693346,1.788376184672405,0.08039338431058862,0.25280103804283716,6.485567612768147,0.19393532473619235,0.19246878630814468,6493.796604047109,31.646808256371514,31.410119008566653
2076299895139975424,NGC 6819,1.27000489645628,0.04227940491066762,0.047006688078574665,2.03264440625879,0.21393373540026683,0.18686381824668086,0.07032071527194636,0.07225231713341013,0.08097837428174326,0.29814379027784665,0.014483942080163681,0.014901968032413282,1.788376184672405,0.08039338431058862,0.25280103804283716,3.7366067799199327,0.108450086039511,0.11052073673703156,6449.803794179639,30.706709462962863,31.749513030955313
2076299929499734272,NGC 6819,1.0488993463084535,0.02614196759434484,0.034673562748484876,2.0178850504607877,0.22398316242335725,0.19974601723517393,-0.03669760972659747,0.0914003461134601,0.1151331255257475,0.300481351500911,0.014120592460963144,0.014911124021102673,1.788376184672405,0.08039338431058862,0.25280103804283716,1.6566675299833262,0.044335813009107605,0.045290255884821384,6186.663310269039,31.147528568552843,30.47512025208016
2076299929499739648,NGC 6819,1.5003194026029916,0.09242913210089587,0.059592338280692436,1.9205786206671136,0.2877046909671426,0.36903932986434773,0.10948309901695605,0.07535265391622248,0.09980725108381247,0.2958135976882056,0.015988929137871366,0.015043958126685075,1.788376184672405,0.08039338431058862,0.25280103804283716,8.258557634921324,0.25137652429545554,0.2530606897785379,6474.184119643234,31.8246674246584,32.30123667471344
2076299963859446016,NGC 6819,1.696582966622492,0.005083059253858213,0.0024125505039882533,1.8077943669779892,0.059830282233221954,0.06440418646806245,0.4086632594764714,0.06667505264091506,0.06449197958983921,0.2957964242038099,0.01483927371666538,0.009672015683873436,1.788376184672405,0.08039338431058862,0.25280103804283716,8.170043991576454,0.20925231537082123,0.20229223194537305,6106.499619021571,31.439380091520434,46.76380398699348
2076300101298449792,NGC 6819,1.4860056517017264,0.046688352443764236,0.05998473994714115,1.9519808220762567,0.1314848127684074,0.12111574397816582,0.16612915303573278,0.06736690358415173,0.09128428932990423,0.2942252092568163,0.014620393985484481,0.013962862219683791,1.788376184672405,0.08039338431058862,0.25280103804283716,6.454440299534823,0.1777167933068915,0.17708089598990018,6286.687773442353,31.377897913474953,31.35521244523534
2076300135654236160,NGC 6819,1.4095035803288545,0.05219465732679751,0.06997038067658767,2.0335282903644676,0.1578919499307938,0.15229336930675919,0.13382853378977244,0.08303927482528534,0.10839551686057491,0.2984983151501842,0.014928154856184483,0.01455779293754611,1.788376184672405,0.08039338431058862,0.25280103804283716,5.557519819523595,0.1531759851522505,0.15364390315278342,6329.248431392754,31.37883142987448,31.820683821597413
2076376105038004864,NGC 6819,1.4705059380447496,0.08683233013193603,0.0892255020896,2.2004169150771484,0.07738383378464686,0.10791395660143666,0.14603540102036233,0.13830214541932995,0.1528978961917054,0.29956658154222127,0.014204869563374467,0.015061085045392664,1.788376184672405,0.08039338431058862,0.25280103804283716,9.573064215176654,0.26118328604998453,0.2551169254441312,6245.1271597926425,31.936904690920528,32.15610129462402
2076376345547506944,NGC 6819,1.1793147425477608,0.036233409167986785,0.03951250798136652,1.9996872650985291,0.21753624186673082,0.2003725721223759,0.03710675004693506,0.08385794323299348,0.09147704306424007,0.2996200958188552,0.01559046544692172,0.014251540680410346,1.788376184672405,0.08039338431058862,0.25280103804283716,2.7371484962761183,0.07882448353964921,0.08118481969100166,6393.503615998913,32.42572976828251,31.680823511203016
2076376860952287104,NGC 6819,1.3289351628346127,0.051796647107207994,0.05257208276664227,2.0181011115884466,0.1895281230853869,0.18298241129020543,0.0875291734534796,0.08318068960298296,0.08599015774516261,0.2981895492701443,0.015284412304639505,0.01519487632509181,1.788376184672405,0.08039338431058862,0.25280103804283716,4.495204781451226,0.13445091429604794,0.13374603920248518,6444.746246821072,31.362876070878883,31.168808777288177
2076388337105190144,NGC 6819,1.4902323527615633,0.10687509944431861,0.2016686449701084,2.282433638866885,0.459175145558504,0.13296010993173546,0.23344037892314634,0.26216606408149656,0.17273721018540467,0.29894836387051327,0.012897659906964065,0.013989629937191828,1.788376184672405,0.08039338431058862,0.25280103804283716,8.861601967112225,0.6569335655346897,0.27146840783133364,5986.450551129208,40.33100642691534,91.01315677428192
2076388405824633216,NGC 6819,1.0676769631770608,0.026149299789636427,0.02886109575225837,1.9879004357732897,0.22530970799311567,0.20765947355914793,-0.1483216472529525,0.07864600970477759,0.10028874013175798,0.30298603654800554,0.013679240159070016,0.015149014883895362,1.788376184672405,0.08039338431058862,0.25280103804283716,2.1613170339547363,0.06133521313508128,0.06230147216536741,6414.691967322262,30.329809564973402,31.493664276504205
2076388577623375360,NGC 6819,1.1016671394557858,0.02872181678659036,0.0356336532183712,2.0086434352386227,0.21730756507658566,0.20482489151480499,-0.014209490033262093,0.08656447831255794,0.10428390609213685,0.2994461740455302,0.01444524502839245,0.01476480197560509,1.788376184672405,0.08039338431058862,0.25280103804283716,2.071068393752597,0.05792408493065038,0.05745498438638208,6290.891082744287,31.1023665978164,30.385534145611018
